0: [[2, 9, 1, 13, 12], [6, 3, 4, 5], [7, 11], [15, 8], [10, 14, 20], [17, 16, 19, 18, 22], [21, 23, 24]]
1: [[2, 1, 20, 12], [9, 6], [3, 4, 5], [7, 11], [15, 8], [10, 13, 14, 17, 16, 19], [18, 22], [21, 23, 24]]
2: [[2, 12], [1, 9], [6, 3, 4, 5], [7, 11], [15, 8, 10, 20], [13, 14, 17], [16, 19, 18, 22], [21, 23, 24]]
3: [[2, 1, 20], [9, 6], [3, 4], [7, 11], [15, 8, 5], [10, 13, 14, 17], [16, 19, 18, 22, 21, 12], [23, 24]]
4: [[20, 12, 5], [2, 1], [9, 6], [3, 4, 7, 11], [15, 8], [10, 13, 14, 17], [16, 19, 18, 22], [21, 23, 24]]
5: [[2, 1, 12], [9, 6, 3], [4, 7, 5], [11, 15, 8], [10, 13, 14, 20], [17, 16, 19, 18], [22, 21, 23, 24]]
6: [[2, 12], [1, 9], [6, 3, 4, 7, 5], [11, 15, 8], [10, 13, 14, 20], [17, 16, 19], [18, 22], [21, 23, 24]]
7: [[20, 12, 5], [2, 1, 9], [6, 3, 4], [7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21], [23, 24]]
8: [[2, 1, 12], [9, 6, 3], [4, 7, 11], [15, 8, 5], [10, 13, 20], [14, 17, 16], [19, 18, 22], [21, 23, 24]]
9: [[20, 12, 5], [2, 1, 9], [6, 3], [4, 7], [11, 15], [8, 10, 13, 14], [17, 16, 19, 18], [22, 21, 23, 24]]
10: [[2, 1, 20, 12], [9, 6], [3, 4, 5], [7, 11, 15, 8], [10, 13, 14, 17, 16], [19, 18], [22, 21, 23, 24]]
11: [[2, 1, 9], [6, 3], [4, 7, 11], [15, 8, 10, 13, 20], [14, 17, 5], [16, 19], [18, 22, 21, 12], [23, 24]]
12: [[20, 12, 5], [2, 1], [9, 6], [3, 4, 7, 11], [15, 8, 10], [13, 14, 17], [16, 19], [18, 22], [21, 23, 24]]
13: [[20, 12, 5], [2, 1], [9, 6], [3, 4, 7, 11], [15, 8, 10], [13, 14, 17], [16, 19], [18, 22], [21, 23, 24]]
14: [[2, 12], [1, 9], [6, 3, 4, 7, 11], [15, 8, 10, 20], [13, 14, 17, 5], [16, 19], [18, 22], [21, 23, 24]]
15: [[2, 12], [1, 9, 20], [6, 3], [4, 7, 5], [11, 15, 8, 10], [13, 14], [17, 16, 19], [18, 22], [21, 23, 24]]
16: [[2], [1, 9], [6, 3, 4, 5], [7, 11, 15], [8, 10, 13, 20], [14, 17, 16, 19, 12], [18, 22, 21], [23, 24]]
17: [[2, 12], [1, 9, 6, 3], [4, 7, 5], [11, 15, 8, 10, 20], [13, 14, 17, 16], [19, 18, 22], [21, 23, 24]]
18: [[2, 1, 12], [9, 6, 3], [4, 7, 5], [11, 15], [8, 10, 20], [13, 14, 17], [16, 19, 18, 22], [21, 23, 24]]
19: [[2, 1, 12], [9, 6, 3], [4, 7, 5], [11, 15], [8, 10, 13, 20], [14, 17, 16], [19, 18, 22], [21, 23, 24]]
20: [[2, 1], [9, 6, 3], [4, 7, 11], [15, 8, 10, 20], [13, 14, 17, 12, 5], [16, 19], [18, 22, 21], [23, 24]]
21: [[2, 1, 9], [6, 3], [4, 7], [11, 15, 8], [10, 13, 14, 12], [17, 16, 20, 5], [19, 18], [22, 21], [23, 24]]
22: [[2, 1], [9, 6, 3], [4, 7], [11, 15], [8, 10, 20], [13, 14], [17, 16, 5], [19, 18, 12], [22, 21, 23, 24]]
23: [[2, 1, 12], [9, 6], [3, 4, 7, 5], [11, 15], [8, 10, 13, 20], [14, 17, 16], [19, 18, 22], [21, 23, 24]]
24: [[2, 12], [1, 9, 6], [3, 4, 7], [11, 15], [8, 10, 13, 20], [14, 17, 5], [16, 19], [18, 22], [21, 23, 24]]
25: [[2, 1, 12], [9, 6], [3, 4, 7], [11, 15], [8, 10, 20], [13, 14, 17, 5], [16, 19, 18], [22, 21, 23, 24]]
26: [[2, 1, 20], [9, 6], [3, 4, 7], [11, 15, 8, 10], [13, 14, 17, 16, 12, 5], [19, 18], [22, 21], [23, 24]]
27: [[2, 1, 12], [9, 6, 3, 4, 5], [7, 11], [15, 8, 20], [10, 13, 14], [17, 16, 19, 18, 22, 21, 23, 24]]
28: [[2, 1, 9], [6, 3], [4, 7], [11, 15], [8, 10, 20], [13, 14], [17, 16, 19], [18, 22, 21, 12, 5], [23, 24]]
29: [[2, 1], [9, 6], [3, 4, 7], [11, 15], [8, 10, 13, 20], [14, 17, 16, 5], [19, 18, 22, 21, 12], [23, 24]]
30: [[20, 12, 5], [2, 1, 9], [6, 3, 4], [7, 11], [15, 8], [10, 13], [14, 17, 16, 19, 18, 22, 21, 23, 24]]
31: [[2], [1, 9, 6], [3, 4, 7], [11, 15], [8, 10, 13, 20], [14, 17, 5], [16, 19], [18, 22, 21, 12], [23, 24]]
32: [[2, 1, 12], [9, 6], [3, 4, 5], [7, 11, 15, 8], [10, 13, 14], [17, 16, 20], [19, 18, 22, 21, 23, 24]]
33: [[20, 12, 5], [2, 1], [9, 6, 3], [4, 7, 11], [15, 8], [10, 13, 14, 17], [16, 19, 18, 22, 21, 23, 24]]
34: [[2, 12], [1, 9], [6, 3], [4, 7, 11], [15, 8], [10, 13, 20], [14, 17, 5], [16, 19], [18, 22, 21, 23, 24]]
35: [[2, 1, 9, 20], [6, 3], [4, 7, 11], [15, 8, 5], [10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
36: [[2, 1], [9, 6, 3, 4, 5], [7, 11, 15], [8, 10, 20], [13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
37: [[2, 1], [9, 6, 3], [4, 7], [11, 15], [8, 10, 20], [13, 14, 12, 5], [17, 16, 19, 18], [22, 21, 23], [24]]
38: [[20], [2, 1, 9], [6, 3, 5], [4, 7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
39: [[2, 12], [1, 9, 20], [6, 3], [4, 7, 5], [11, 15, 8, 10], [13, 14, 17], [16, 19], [18, 22, 21, 23, 24]]
40: [[2], [1, 9], [6, 3, 4, 7, 5], [11, 15, 8], [10, 13, 20, 12], [14, 17, 16, 19, 18, 22, 21, 23, 24]]
41: [[20], [2, 1], [9, 6], [3, 4, 5], [7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
42: [[2, 12], [1, 9, 6, 3, 4], [7, 11, 15], [8, 10, 20], [13, 14], [17, 16, 5], [19, 18, 22, 21, 23, 24]]
43: [[20], [2, 1], [9, 6], [3, 4, 5], [7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
44: [[20], [2, 1, 9, 6], [3, 4, 5], [7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
45: [[2, 1], [9, 6, 3], [4, 7], [11, 15], [8, 10, 20], [13, 14, 17, 16], [19, 18, 12, 5], [22, 21, 23], [24]]
46: [[20], [2], [1, 9], [6, 3, 5], [4, 7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23, 24, 12]]
47: [[2, 12], [1, 9, 6], [3, 4, 5], [7, 11, 15], [8, 10, 13, 20], [14, 17], [16, 19, 18, 22, 21, 23, 24]]
48: [[2, 12], [1, 9, 20], [6, 3, 4, 7, 5], [11, 15, 8, 10, 13], [14, 17], [16, 19, 18, 22, 21, 23, 24]]
49: [[20, 12], [5, 2, 1, 9, 6, 3, 4, 7, 11, 15, 8, 10, 13, 14, 17, 16, 19, 18, 22, 21, 23], [24]]
