It No., Best MQ, No clusters, max clus, min clus
1,1.8550354014750299,6,5,2
2,2.1375912975912974,6,4,3
3,1.913131313131313,7,4,2
4,2.045713344626388,6,4,2
5,2.140178674618034,6,4,2
6,2.2182050685887003,5,6,3
7,1.8589635854341737,5,6,2
8,1.9650079223608636,6,5,2
9,1.9082801895461743,6,4,3
10,1.9229399255715045,8,4,2
11,2.135255075297151,6,5,2
12,1.97005772005772,8,4,1
13,2.129587803500847,6,4,2
14,2.1947595713041936,6,5,2
15,2.1365319865319865,6,5,2
16,2.189843381019852,6,5,2
17,2.2262689001819433,6,4,2
18,1.998755672668716,5,4,4
19,2.171409749670619,6,4,3
20,2.0181892021022456,6,4,3
21,1.9972804972804974,8,4,1
22,2.0003565062388593,8,4,1
23,1.9860083108203408,5,7,2
24,1.9717365967365967,5,5,3
25,1.9871572871572871,6,4,3
26,2.009174883087926,5,5,3
27,2.188189588189588,6,6,2
28,2.1570572485018484,6,4,3
29,2.241077441077441,6,5,2
30,2.0392847731978163,6,4,3
31,2.1015151515151516,7,4,2
