0: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
1: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
2: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
3: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
4: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
5: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
6: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
7: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
8: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
9: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
10: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
11: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
12: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
13: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
14: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
15: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
16: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
17: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
18: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
19: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
20: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
21: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
22: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
23: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
24: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
25: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
26: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
27: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
28: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
29: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
30: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
31: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
32: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
33: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
34: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
35: [[1, 3, 2], [37, 7, 4], [13, 22, 5], [12, 6, 11], [14, 8, 29], [18, 10, 24], [9, 17], [19, 15], [20, 16, 23], [21, 31, 27], [25, 28, 26], [30, 32, 33], [34, 35, 36]]
