0: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
1: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
2: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
3: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
4: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
5: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
6: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
7: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
8: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
9: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
10: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
11: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
12: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
13: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
14: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
15: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
16: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
17: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
18: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
19: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
20: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
21: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
22: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
23: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
24: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
25: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
26: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
27: [[5, 1, 3], [10, 4], [9, 8, 11, 6], [7, 13, 12, 2]]
