0: [[5, 11, 9], [13, 12], [7, 10, 2], [1, 3, 8], [16, 14, 6, 15], [19, 18, 20, 17, 4]]
1: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6, 15], [18, 20, 17, 19, 4]]
2: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 15, 17, 18, 4]]
3: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 17, 18, 15, 4]]
4: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 17, 18, 15, 4]]
5: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
6: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 15], [17, 18, 4]]
7: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 15], [17, 18, 4]]
8: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20], [19, 17, 15, 4]]
9: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 17], [19, 15, 4]]
10: [[5, 11], [13, 12, 9], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 18], [17, 15, 4]]
11: [[5, 11], [13, 12, 9], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
12: [[5, 11], [9, 13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 18], [17, 15, 4]]
13: [[5, 11], [9, 13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
14: [[5, 11], [13, 12, 9], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
15: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8, 16], [14, 6], [18, 20, 19, 4, 17, 15]]
16: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 15], [17, 19, 4]]
17: [[5, 11, 9], [13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 18, 20, 19, 17, 15, 6, 4]]
18: [[5, 11], [9, 13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6], [19, 20, 15], [17, 18, 4]]
19: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 17, 19, 15, 4]]
20: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 17, 19, 15, 4]]
21: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 17, 19, 15, 4]]
22: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
23: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 14, 6], [18, 20, 19], [17, 15, 4]]
24: [[5, 11], [13, 12, 10, 9], [7, 2], [1, 3, 8], [16, 6], [14, 18, 20, 17, 19, 15, 4]]
25: [[5, 11], [9, 13, 12], [10, 7, 2], [1, 3, 8], [16, 14, 6, 19], [20, 18, 17], [15, 4]]
26: [[5, 11, 9], [13, 12, 10], [7, 2, 1], [3, 8], [16, 14, 6], [18, 20, 15], [17, 19, 4]]
27: [[5, 11, 9], [13, 12], [10, 7], [2, 1, 3], [8, 16, 14, 6, 19], [18, 20, 17, 15, 4]]
28: [[5, 11, 9], [13, 12], [10, 7], [2, 1, 3], [8, 16, 14, 6, 19, 18, 20, 17, 15, 4]]
29: [[5, 11, 9, 13], [12, 10, 7, 2, 1], [3, 8, 16], [14, 6], [19, 20, 18], [17, 15, 4]]
30: [[5, 11, 9], [13, 12, 10], [7, 2], [1, 3, 8, 16], [14, 6], [18, 20, 19, 4], [17, 15]]
31: [[5, 11, 9], [13, 12], [10, 7, 2], [1], [3, 8, 16, 14, 6, 18, 15, 20, 17, 19, 4]]
32: [[5, 11, 9], [13, 12, 10], [7, 2, 1], [3, 8, 16], [14, 18, 6, 4], [20, 19, 17], [15]]
33: [[5, 11, 9], [13, 12, 10], [7, 2, 1], [3, 8, 16, 14, 6, 19], [20, 15, 17, 18, 4]]
34: [[5, 11, 9], [13, 12, 10], [7, 2, 1, 3, 8, 16], [14, 6, 18, 20, 17, 19, 15, 4]]
35: [[5, 11, 13, 4, 9], [12, 10, 7, 2, 1], [3, 8, 16], [14, 6], [18, 20, 15], [17, 19]]
36: [[5, 11, 13, 4, 9], [12, 10, 7, 2, 1], [3, 8, 16], [14, 6], [18, 20, 15], [17, 19]]
37: [[5, 11, 9], [13, 12, 10], [7, 2, 1], [3, 8, 16], [14, 6, 18], [20, 15, 17, 19, 4]]
38: [[5, 11, 9], [13, 12, 10], [7, 2], [1, 3, 8], [16, 14], [6, 18, 19], [20, 17, 15, 4]]
39: [[5, 11, 9], [13, 12, 10, 7, 2], [1, 3, 8, 16, 14, 6, 15, 18, 20, 17, 19, 4]]
40: [[5, 11, 9], [13, 12, 10], [7, 2, 1, 3, 8, 16, 14, 6, 18, 20, 19, 17, 15, 4]]
41: [[5, 11, 9], [13, 12, 10], [7, 2, 1, 3, 8, 16, 14, 6, 19, 18, 20, 17, 15, 4]]
