0: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
1: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
2: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
3: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
4: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
5: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
6: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
7: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
8: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
9: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
10: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
11: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
12: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
13: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
14: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
15: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
16: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
17: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
18: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
19: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
20: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
21: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
22: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
23: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
24: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
25: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
26: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
27: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
28: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
29: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
30: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
31: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
32: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
33: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
34: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
35: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
36: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
37: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
38: [[13, 4, 6, 16, 3, 5, 1], [2, 7, 10, 11, 14, 12], [9, 8, 15, 20, 19, 18, 22, 17], [21, 23, 24]]
39: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14, 12], [9, 8, 15, 20, 19, 18, 22, 17], [21, 23, 24]]
40: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14, 12], [9, 8, 15, 20, 19, 18, 22, 17], [21, 23, 24]]
41: [[13, 4, 6, 16, 3, 5, 1, 2], [7, 10, 11, 14, 12], [9, 8, 15, 20, 19, 18, 22, 17], [21, 23, 24]]
42: [[13, 4, 6, 16, 3, 5], [1, 2, 7, 10, 11, 14], [9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
43: [[13, 4, 6, 16, 3, 5], [1, 2, 7, 10, 11], [14, 9, 8, 15, 20, 19, 18, 22, 12, 17], [21, 23, 24]]
