0: [[8], [3, 30, 51, 58], [59, 37, 29], [41, 16, 54, 43], [22, 40], [55], [20, 1, 19, 26, 31, 47], [5, 27, 11], [7], [15, 6, 10], [38, 44], [23, 18], [35, 28, 46, 2], [32, 17], [56, 39], [52], [36, 9, 24, 45, 12], [42], [14, 13, 21], [48, 49], [53], [57, 33, 34], [60], [4, 25, 50]]
1: [[8], [3, 30, 51, 58], [59, 37, 29], [41, 16, 54, 43], [22, 40], [55], [20, 1, 19, 26, 31, 47], [5, 27, 11], [7], [15, 6, 10], [38, 44], [23, 18], [35, 28, 46, 2], [32, 17], [56, 39], [52], [36, 9, 24, 45, 12], [42], [14, 13, 21], [48, 49], [53], [57, 33, 34], [60], [4, 25, 50]]
2: [[7, 35, 2, 27], [1, 3, 4, 13, 5, 10, 22, 12, 11, 9, 28, 15, 14, 6, 29, 8, 18, 23, 17, 21], [16, 24, 25, 20, 19, 26, 30, 31, 33, 38, 32, 36, 44, 39, 45, 37, 40, 34, 42, 43, 41], [46, 47, 48, 60, 49, 51, 50, 54, 53, 52, 58, 56, 59, 55, 57]]
3: [[7, 35, 2, 27], [3, 1, 5, 9, 13, 4, 6, 10, 11, 8, 30, 15, 16, 12, 14, 18, 17, 22, 21], [19, 20, 24, 23, 28, 25, 31, 26, 29, 34, 32, 36, 33, 38, 37, 43, 45, 39, 42, 44, 40, 41], [46, 56, 48, 47, 54, 49, 51, 53, 52, 50, 55, 57, 58, 59, 60]]
4: [[7, 35, 2, 27], [1, 3, 4, 5, 12, 6, 13, 10, 14, 8, 9, 23, 30, 22, 18, 21, 16, 11, 15], [17, 25, 19, 20, 24, 26, 28, 29, 31, 32, 33, 36, 47, 39, 34, 37, 38, 46, 42, 40, 41, 45], [43, 44, 57, 59, 51, 54, 53, 48, 49, 50, 52, 55, 60, 56, 58]]
5: [[7, 35, 2, 27], [3, 5, 4, 15, 8, 1, 29, 13, 6, 9, 24, 11, 20, 14, 10, 21, 17, 12, 19], [16, 18, 22, 23, 30, 25, 31, 26, 28, 32, 37, 34, 46, 33, 36, 47, 39, 42, 45, 41, 38, 40], [43, 44, 51, 48, 57, 54, 52, 50, 49, 53, 55, 59, 60, 58, 56]]
6: [[7, 35, 2, 27], [1, 3, 4, 5, 12, 10, 6, 9, 11, 8, 28, 13, 14, 20, 15, 29, 25, 30, 31, 21], [16, 18, 17, 24, 19, 22, 23, 26, 33, 36, 32, 34, 42, 38, 45, 47, 37, 39, 41, 43, 40], [44, 58, 48, 46, 51, 49, 50, 52, 55, 53, 54, 56, 59, 57, 60]]
7: [[7, 35, 2, 27], [1, 3, 4, 5, 13, 10, 6, 9, 8, 11, 26, 12, 29, 22, 14, 15, 25, 16, 23, 21], [19, 18, 20, 24, 17, 28, 31, 30, 34, 36, 32, 33, 42, 39, 37, 45, 38, 43, 40, 41, 44], [46, 48, 53, 47, 49, 51, 50, 52, 54, 55, 58, 56, 59, 57, 60]]
8: [[7, 35, 2, 27], [1, 3, 4, 5, 13, 10, 6, 9, 8, 11, 26, 12, 29, 22, 14, 15, 25, 16, 23, 21], [19, 18, 20, 24, 17, 28, 31, 30, 34, 36, 32, 33, 42, 39, 37, 45, 38, 43, 40, 41, 44], [46, 48, 53, 47, 49, 51, 50, 52, 54, 55, 58, 56, 59, 57, 60]]
9: [[7, 35, 2, 27], [3, 1, 5, 14, 12, 15, 28, 4, 9, 26, 13, 8, 6, 10, 11, 30, 17, 16, 20, 23, 18, 21], [19, 22, 25, 24, 29, 31, 33, 32, 38, 36, 40, 44, 39, 34, 42, 43, 47, 37, 45], [41, 53, 51, 49, 59, 54, 46, 48, 52, 50, 56, 57, 55, 58, 60]]
10: [[7, 35, 2, 19], [1, 3, 4, 8, 12, 14, 26, 11, 9, 10, 6, 13, 5, 15, 20, 16, 25, 17, 29, 21], [22, 18, 24, 28, 30, 27, 23, 31, 33, 36, 37, 40, 44, 32, 41, 39, 34, 42, 45, 38, 43], [47, 46, 56, 49, 52, 48, 51, 55, 50, 53, 57, 58, 54, 59, 60]]
