0: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 16, 28, 11, 23, 27, 12, 24, 18, 10], [30, 13, 17, 31, 26, 21, 6], [33, 29, 37, 25, 44, 53, 32, 34, 36, 38, 39], [41, 42, 46, 45, 47, 40, 43, 48, 51, 22], [49, 52, 54, 56, 55, 50, 59, 57, 58, 60]]
1: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 26, 10, 11, 12, 13, 29, 21, 17, 16], [18, 22, 23, 24, 30, 31, 25, 27, 28], [33, 32, 34, 36, 37, 46, 39, 47, 38], [40, 41, 42, 43, 45, 44, 51, 56, 58], [49, 52, 48, 55, 53, 50, 54, 59, 57, 60]]
2: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 10, 12], [13, 16, 28, 17, 23, 21, 18, 22, 25, 27, 24], [30, 31, 29, 33, 32, 34, 39, 36, 40, 37, 41, 45], [38, 42, 43, 46, 44, 47, 51, 56, 50], [49, 52, 48, 55, 54, 53, 57, 58, 59, 60]]
3: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 30, 11, 10, 12], [28, 13, 17, 21, 22, 23, 24, 16, 18, 26, 31], [25, 27, 29, 33, 36, 34, 32, 37, 46, 39, 38, 45], [40, 41, 42, 43, 44, 47, 51, 56, 50], [49, 52, 48, 55, 53, 54, 58, 59, 57, 60]]
4: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 12], [13, 28, 21, 17, 16, 24, 26, 23, 18, 22, 25], [31, 30, 29, 33, 32, 34, 44, 37, 38, 39, 47, 36], [40, 41, 42, 43, 45, 46, 51, 56, 50], [49, 52, 48, 54, 53, 55, 58, 57, 59, 60]]
5: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 31, 11, 10, 12], [28, 13, 22, 21, 18, 30, 17, 24, 23], [16, 29, 26, 25, 27, 37, 32, 34, 38, 40, 33, 36], [39, 44, 45, 41, 43, 46, 42, 47, 51, 56, 50], [49, 52, 48, 55, 53, 58, 57, 54, 59, 60]]
6: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 27, 10, 11, 12, 16, 13, 21, 24, 17], [30, 23, 31, 18, 25, 22, 26, 28, 29], [33, 32, 34, 36, 39, 46, 37, 41, 42], [43, 40, 38, 47, 44, 45, 51, 58, 50], [49, 52, 48, 55, 53, 54, 57, 56, 59, 60]]
7: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 26, 11, 12, 10, 6], [28, 13, 17, 16, 23, 24, 25, 22, 27, 18, 21], [31, 30, 29, 33, 32, 34, 44, 36, 39, 37, 46, 45], [40, 41, 42, 38, 43, 47, 51, 56, 50], [49, 52, 48, 55, 53, 54, 59, 58, 57, 60]]
8: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 31, 11, 10, 12], [13, 17, 25, 16, 21, 22, 18, 23, 27, 28, 24], [26, 29, 30, 37, 32, 38, 33, 42, 41, 39, 40, 36], [34, 43, 44, 46, 45, 47, 51, 56, 53], [49, 52, 50, 54, 55, 57, 58, 48, 59, 60]]
9: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 27, 10, 11, 13, 29, 18, 12, 16, 21], [17, 23, 22, 24, 25, 26, 31, 30, 28], [33, 32, 38, 36, 39, 46, 37, 44, 40], [34, 41, 42, 43, 45, 47, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 58, 59, 60]]
10: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4], [19, 15, 6, 29, 10, 11, 12, 13, 21, 16, 17, 26], [18, 22, 23, 25, 31, 27, 24, 30, 28], [37, 36, 33, 32, 34, 46, 38, 41, 39], [43, 40, 42, 47, 44, 45, 51, 56, 54], [49, 52, 48, 50, 53, 55, 57, 58, 59, 60]]
11: [[5, 35, 9, 3, 1, 2, 8, 14, 7, 20, 4, 19], [15, 6, 31, 11, 10, 12, 13, 17, 18, 16, 21], [26, 22, 28, 23, 24, 30, 29, 25, 27], [33, 32, 34, 39, 37, 46, 36, 38, 42], [40, 41, 47, 43, 44, 45, 51, 56, 58], [49, 52, 48, 55, 53, 59, 54, 50, 57, 60]]
12: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 30], [13, 12, 17, 24, 16, 29, 21, 18, 22, 23, 28], [25, 26, 31, 33, 32, 34, 37, 41, 46, 36, 39, 42], [43, 40, 38, 47, 44, 45, 51, 50, 58], [49, 52, 48, 55, 53, 54, 57, 59, 60, 56]]
13: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 12], [13, 29, 23, 16, 17, 18, 22, 30, 21, 24, 26], [31, 25, 28, 33, 34, 32, 36, 37, 39, 41, 47, 38], [42, 40, 45, 43, 44, 46, 51, 56, 50], [49, 52, 48, 55, 53, 54, 58, 57, 59, 60]]
14: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 22, 26, 11, 10, 12], [17, 6, 13, 21, 18, 27, 16, 25, 23], [31, 24, 28, 30, 29, 45, 34, 32, 37, 36, 40], [43, 38, 33, 39, 41, 44, 47, 46, 42, 51, 56, 54], [49, 48, 52, 55, 53, 59, 57, 50, 58, 60]]
15: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 11, 10, 12], [29, 13, 23, 21, 16, 18, 24, 17, 28], [25, 22, 31, 30, 27, 33, 32, 37, 36, 34, 46, 45], [43, 47, 38, 44, 40, 39, 42, 41, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 58, 59, 60]]
16: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 13, 25, 12, 21], [17, 22, 24, 18, 23, 16, 26, 28, 31, 30, 29], [33, 32, 34, 36, 37, 39, 38, 44, 43], [40, 41, 42, 45, 47, 46, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 59, 58, 60]]
17: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 27, 10, 11, 29], [12, 17, 16, 13, 18, 21, 22, 23, 24, 28, 31], [25, 26, 30, 33, 34, 32, 36, 37, 44, 39, 47, 46], [40, 38, 42, 41, 43, 45, 51, 56, 48], [49, 52, 50, 54, 53, 55, 58, 57, 59, 60]]
18: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 12], [22, 13, 18, 17, 16, 21, 25, 28, 24], [30, 29, 23, 27, 31, 33, 36, 34, 37, 32, 47], [38, 46, 45, 40, 41, 42, 39, 43, 50, 51, 56, 44], [49, 52, 48, 55, 53, 58, 54, 60, 57, 59]]
19: [[5, 35, 9, 3, 1, 2, 8, 14, 7], [20, 4, 19, 15, 6, 26, 10, 11, 12], [13, 16, 18, 17, 21, 23, 24, 22, 25], [29, 27, 30, 28, 31, 33, 32, 34, 38, 36, 44, 37], [41, 45, 39, 40, 43, 46, 42, 47, 51, 56, 50], [49, 52, 48, 55, 53, 54, 57, 58, 59, 60]]
