0: [[9, 17], [18, 10, 3], [1, 7, 22, 2, 29, 4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [35, 36]]
1: [[9, 17], [18, 10, 3], [1, 7, 22, 2, 29, 4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [35, 36]]
2: [[9, 17], [18, 10, 3], [1, 7, 22, 2, 29, 4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [35, 36]]
3: [[9, 17], [18, 10, 3], [1, 7, 22, 2, 29, 4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [35, 36]]
4: [[9, 17], [18, 10, 3], [1, 7, 22, 2, 29, 4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [35, 36]]
5: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
6: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
7: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
8: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
9: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
10: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 35, 36]]
11: [[9, 17], [18, 10], [3, 1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34], [35, 36]]
12: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34, 35, 36]]
13: [[9, 17], [18, 10], [3, 1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24, 16], [20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34, 35, 36]]
14: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24, 16], [20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34, 35, 36]]
15: [[9, 17], [18, 10, 3], [1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24, 16, 20, 23, 19, 21, 27], [25, 28], [26, 30, 31, 33, 32], [34, 35, 36]]
16: [[9, 17], [18, 10, 3], [1, 7, 22], [2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31], [33, 32], [34, 35, 36]]
17: [[9, 17], [18, 10, 3], [1, 7, 22], [2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31], [33, 32], [34, 35, 36]]
18: [[9, 17], [18, 10], [3, 1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5], [13, 14, 24, 16], [20, 23, 19, 21, 27], [25, 28, 26], [30, 31], [33, 32, 34, 35, 36]]
19: [[9, 17], [18, 10], [3, 1, 7], [22, 2, 29], [4, 37, 6], [12, 8, 15], [11, 5, 13], [14, 24, 16], [20, 23, 19], [21, 27, 25, 28], [26, 30, 31, 33, 32, 34, 35, 36]]
20: [[9, 17], [18, 10], [3, 1, 7], [22, 2], [29, 4, 37], [6, 12, 8], [15, 11, 5], [13, 14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34], [35, 36]]
21: [[9, 17], [18, 10], [3, 1], [7, 22, 2], [29, 4, 37], [6, 12, 8], [15, 11, 5], [13, 14, 24], [16, 20, 23], [19, 21, 27], [25, 28, 26], [30, 31, 33], [32, 34], [35, 36]]
