0: [[3, 69, 22, 1, 70, 12, 13, 2, 36], [5, 4, 7, 59, 6, 9, 25, 8, 16, 44], [15, 24, 23, 19, 50, 17, 11, 14, 21], [20, 18, 10, 63, 57, 29, 26, 28, 31, 39], [51, 34, 33, 35, 45, 40, 30, 27, 38, 47], [37, 41, 42, 32, 54, 43, 46, 49, 48, 60], [53, 52, 56, 55, 58, 61, 62, 64, 65, 66], [71, 67, 68, 75, 73, 74, 72, 78, 76, 77], [79, 80, 83, 85, 81, 82, 87, 84, 86, 88]]
1: [[3, 69, 22, 1, 70, 12, 13, 2, 36], [5, 4, 7, 59, 6, 9, 25, 8, 16, 44], [15, 24, 23, 19, 50, 17, 11, 14, 21], [20, 18, 10, 63, 57, 29, 26, 28, 31, 39], [51, 34, 33, 35, 45, 40, 30, 27, 38, 47], [37, 41, 42, 32, 54, 43, 46, 49, 48, 60], [53, 52, 56, 55, 58, 61, 62, 64, 65, 66], [71, 67, 68, 75, 73, 74, 72, 78, 76, 77], [79, 80, 83, 85, 81, 82, 87, 84, 86, 88]]
2: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 62, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 60, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
3: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
4: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
5: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
6: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
7: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
8: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
9: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 60, 53, 47, 46, 49, 48, 54, 52, 55, 61, 58, 56, 62, 63, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
10: [[3, 69, 22, 1, 70, 12, 14, 2, 36, 5, 4, 7, 43, 6, 9, 25, 10, 24, 13, 15, 28, 23], [19, 50, 8, 11, 16, 21, 17, 18, 20, 59, 57, 29, 30, 26, 31, 39, 51, 34, 33, 35, 44, 40], [32, 27, 38, 45, 37, 41, 42, 62, 53, 47, 46, 49, 48, 54, 52, 63, 61, 58, 56, 60, 55, 64], [65, 66, 79, 67, 68, 71, 73, 75, 76, 74, 72, 77, 78, 80, 83, 85, 81, 82, 86, 84, 87, 88]]
