0: [[11, 20, 12, 5, 2], [29, 3], [1, 4, 7, 9], [22, 6, 8, 37, 14], [13, 15, 19], [10, 17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
1: [[11, 20, 12], [5, 2, 29, 3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15, 19], [10, 17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
2: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22, 6], [8, 37, 14], [13, 15, 19], [10, 17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34], [35, 36]]
3: [[11, 20, 12], [5, 2, 29, 3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15, 19], [10, 17, 18, 16], [23, 21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34, 35, 36]]
4: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14], [13, 15, 19], [10, 17, 18], [16, 23, 21], [27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
5: [[11, 20], [12, 5, 2], [29, 3], [1, 4], [7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21, 27], [24, 25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
6: [[11, 20], [12, 5, 2], [29, 3, 1], [4, 7, 9, 22], [6, 8], [37, 14, 13], [15, 19, 10], [17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
7: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19], [10, 17], [18, 16, 23], [21, 27], [24, 25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
8: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9], [22, 6, 8, 37], [14, 13, 15], [19, 10, 17, 18], [16, 23, 21, 27], [24, 25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
9: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9], [22, 6, 8], [37, 14, 13], [15, 19], [10, 17, 18, 16], [23, 21, 27, 24], [25, 26, 28], [31, 30, 32, 33, 34, 35, 36]]
10: [[11, 20], [12, 5], [2, 29, 3, 1], [4, 7, 9, 22], [6, 8, 37, 14, 13], [15, 19, 10, 17], [18, 16], [23, 21, 27], [24, 25, 26, 28], [31, 30, 32], [33, 34, 35, 36]]
11: [[11, 20], [12, 5, 2], [29, 3], [1, 4, 7, 9], [22, 6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16], [23, 21, 27, 24], [25, 26, 28, 31], [30, 32, 33, 34], [35, 36]]
12: [[11, 20], [12, 5, 2, 29], [3, 1, 4, 7], [9, 22, 6], [8, 37, 14, 13], [15, 19, 10], [17, 18], [16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
13: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
14: [[11, 20, 12, 5, 2], [29, 3], [1, 4, 7, 9], [22, 6, 8, 37], [14, 13, 15, 19], [10, 17], [18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
15: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
16: [[11, 20], [12, 5], [2, 29, 3], [1, 4], [7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32], [33, 34], [35, 36]]
17: [[11, 20], [12, 5, 2], [29, 3, 1], [4, 7, 9, 22], [6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32], [33, 34], [35, 36]]
18: [[11, 20, 12], [5, 2, 29, 3], [1, 4, 7, 9], [22, 6, 8, 37], [14, 13, 15], [19, 10, 17, 18], [16, 23, 21, 27], [24, 25, 26, 28], [31, 30], [32, 33, 34, 35, 36]]
19: [[11, 20, 12], [5, 2], [29, 3], [1, 4, 7], [9, 22, 6], [8, 37], [14, 13, 15, 19], [10, 17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31], [30, 32, 33, 34], [35, 36]]
20: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14], [13, 15, 19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31], [30, 32, 33], [34, 35, 36]]
21: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7], [9, 22, 6], [8, 37, 14, 13], [15, 19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28], [31, 30, 32], [33, 34], [35, 36]]
22: [[11, 20, 12], [5, 2], [29, 3, 1], [4, 7, 9], [22, 6], [8, 37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31], [30, 32], [33, 34, 35, 36]]
23: [[11, 20, 12], [5, 2, 29, 3], [1, 4, 7, 9], [22, 6, 8, 37], [14, 13], [15, 19, 10, 17, 18, 16, 23], [21, 27, 24, 25], [26, 28, 31], [30, 32, 33, 34], [35, 36]]
24: [[11, 20, 12, 5], [2, 29, 3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15, 19, 10], [17, 18, 16], [23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
25: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9], [22, 6, 8, 37], [14, 13, 15, 19], [10, 17, 18], [16, 23, 21, 27, 24], [25, 26], [28, 31, 30, 32, 33, 34, 35, 36]]
26: [[11, 20], [12, 5, 2], [29, 3, 1], [4, 7], [9, 22], [6, 8, 37], [14, 13, 15, 19], [10, 17, 18, 16], [23, 21, 27, 24], [25, 26, 28, 31], [30, 32, 33, 34], [35, 36]]
27: [[11, 20, 12, 5], [2, 29, 3, 1], [4, 7, 9], [22, 6, 8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
28: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9], [22, 6, 8, 37], [14, 13, 15, 19], [10, 17, 18, 16], [23, 21, 27, 24], [25, 26], [28, 31, 30, 32], [33, 34, 35, 36]]
29: [[11, 20], [12, 5, 2, 29], [3, 1, 4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19], [10, 17, 18], [16, 23, 21], [27, 24, 25, 26, 28], [31, 30], [32, 33, 34, 35, 36]]
30: [[11, 20, 12], [5, 2, 29], [3, 1], [4, 7], [9, 22, 6], [8, 37, 14], [13, 15], [19, 10, 17], [18, 16, 23, 21], [27, 24], [25, 26, 28], [31, 30, 32, 33], [34, 35, 36]]
31: [[11, 20, 12, 5], [2, 29, 3, 1], [4, 7, 9, 22], [6, 8, 37, 14], [13, 15], [19, 10, 17, 18], [16, 23, 21], [27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
32: [[11, 20], [12, 5, 2], [29, 3, 1], [4, 7, 9], [22, 6, 8], [37, 14, 13], [15, 19], [10, 17, 18], [16, 23], [21, 27, 24], [25, 26], [28, 31, 30], [32, 33, 34], [35, 36]]
33: [[11, 20], [12, 5], [2, 29, 3, 1], [4, 7], [9, 22], [6, 8, 37], [14, 13, 15], [19, 10, 17], [18, 16, 23], [21, 27, 24], [25, 26, 28, 31], [30, 32, 33, 34], [35, 36]]
34: [[11, 20], [12, 5, 2], [29, 3, 1], [4, 7], [9, 22], [6, 8, 37], [14, 13], [15, 19, 10], [17, 18, 16, 23], [21, 27, 24], [25, 26, 28, 31], [30, 32, 33, 34], [35, 36]]
35: [[11, 20], [12, 5], [2, 29], [3, 1, 4], [7, 9], [22, 6], [8, 37, 14], [13, 15, 19], [10, 17], [18, 16], [23, 21, 27], [24, 25, 26], [28, 31, 30, 32, 33, 34, 35, 36]]
36: [[11, 20, 12], [5, 2, 29, 3], [1, 4, 7, 9], [22, 6, 8, 37], [14, 13, 15], [19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
37: [[11, 20, 12], [5, 2, 29, 3, 1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15, 19, 10], [17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
38: [[11, 20, 12], [5, 2, 29, 3, 1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15, 19, 10], [17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
39: [[11, 20], [12, 5], [2, 29, 3], [1, 4, 7], [9, 22, 6], [8, 37, 14], [13, 15, 19, 10], [17, 18, 16], [23, 21, 27, 24], [25, 26], [28, 31, 30, 32, 33, 34, 35, 36]]
40: [[11, 20, 12], [5, 2, 29], [3, 1, 4], [7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16, 23], [21, 27, 24, 25], [26, 28, 31], [30, 32, 33, 34, 35, 36]]
41: [[11, 20, 12], [5, 2], [29, 3, 1, 4, 7, 9, 22, 6, 8, 37, 14, 13, 15, 19, 10, 17, 18, 16, 23], [21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
42: [[11, 20, 12], [5, 2], [29, 3], [1, 4, 7, 9, 22], [6, 8], [37, 14, 13, 15, 19, 10, 17, 18, 16, 23, 21, 27, 24, 25, 26, 28, 31, 30, 32, 33, 34, 35, 36]]
43: [[11, 20], [12, 5], [2, 29, 3], [1, 4], [7, 9], [22, 6, 8], [37, 14, 13], [15, 19, 10], [17, 18, 16], [23, 21], [27, 24, 25], [26, 28, 31], [30, 32, 33], [34, 35, 36]]
