0: [[37, 7], [18, 33], [4, 3], [8, 9], [32, 2, 1, 5, 6, 31, 11, 24, 12, 22], [14, 15], [20, 17, 30, 19, 16, 25, 26, 21, 56, 62, 51], [27, 47, 46, 35, 63, 34, 28], [29, 36, 13, 23], [42, 38], [43, 60, 40, 41, 55, 48], [59, 52, 58, 53, 44, 39, 49, 45, 50, 54, 57, 10], [61, 68], [65, 64, 75, 67, 70, 66], [69, 73, 76, 77, 74, 78], [72, 71, 79, 80, 81, 86, 88, 82, 83, 85, 87, 84]]
1: [[37, 7], [18, 33], [4, 3], [8, 9], [1, 6, 2, 12, 13], [14, 15], [28, 11, 17, 24, 5, 19, 27, 16, 30, 25, 59, 26, 22, 20, 21, 58, 31, 34, 50, 35, 42, 39, 36, 23, 60, 29, 10, 40, 43], [38, 44, 47, 32, 48, 51, 53, 46, 41, 63, 55, 54, 49, 52, 56, 57, 61, 62, 87, 66, 45, 64, 73], [71, 68, 67, 77], [70, 65, 72, 74, 69, 75, 78, 76, 82, 81, 84, 83, 85, 79, 80, 86, 88]]
2: [[37, 7], [18, 33], [4, 3], [8, 9], [2, 11, 5, 1, 10, 22, 6, 21, 13, 23], [15, 12, 19, 14, 17], [20], [25, 29, 26, 16, 24, 27, 55, 28, 31, 60, 41], [61, 30], [38, 42], [40, 44], [32, 39, 34, 35, 45, 36, 46, 43, 54], [47, 57, 48, 50, 49, 51, 56], [53, 58, 52, 59, 62, 63], [68, 65, 66, 64, 69, 71, 67, 70], [73, 76, 74], [75, 77, 72, 78, 79, 80, 82, 83, 85], [87, 81, 86], [88, 84]]
3: [[37, 7], [18, 33], [4, 3], [8, 11], [1, 2, 6, 9, 5, 30, 15, 10, 12, 13, 14, 17], [21, 16, 19, 22, 28, 25, 24], [20, 58, 56, 27, 26, 29, 50], [51, 46, 31, 23, 36, 41, 40, 59, 35, 34], [43, 47, 63, 62], [42, 32, 44, 45, 53, 48, 38, 52, 54, 39, 55, 57, 49, 60, 61, 68, 65, 66, 69, 64, 70, 67, 71, 76, 72, 79], [74, 73, 75, 77, 78, 82, 86, 80, 83, 84, 81, 87, 85, 88]]
4: [[37, 7], [18, 33], [4, 3], [8, 9], [1, 2, 5, 30], [26], [15, 6], [31, 11, 25, 19], [24, 16, 14, 17, 57, 21], [20, 29, 27, 46, 48, 56, 38, 45, 28, 52, 32], [44, 43, 34, 42, 35, 36, 12, 13, 22, 23], [39, 50, 40, 55, 41, 49, 58, 59, 53, 47, 62, 51, 54, 60, 61, 63, 64, 87, 66, 65, 69, 70, 67, 77, 68, 73, 10], [74, 71, 72, 75, 78, 76, 82, 80, 84, 79, 85, 81, 83, 86, 88]]
5: [[37, 7], [18, 33], [4, 3, 8, 9, 34, 1], [6, 2, 30, 5, 14, 12, 22], [29, 16, 17, 31, 20, 11, 19, 25, 21, 50], [52, 23, 27, 24, 57, 60, 15, 26, 36, 32, 45, 28, 35, 58, 38, 13], [46, 44, 40, 42, 43, 41, 47, 39, 48, 51, 49, 53, 59, 55, 56, 10], [54, 63, 61, 62, 72, 65, 80, 70, 66, 64, 71, 69, 67, 74, 68, 76, 73, 77, 75, 78], [88, 87, 79, 82, 81, 85, 86, 83, 84]]
6: [[37, 7], [18, 33], [4, 3, 8, 9, 34, 1], [6, 2, 30, 5, 14, 12, 22], [29, 16, 17, 31, 20, 11, 19, 25, 21, 50], [52, 23, 27, 24, 57, 60, 15, 26, 36, 32, 45, 28, 35, 58, 38, 13], [46, 44, 40, 42, 43, 41, 47, 39, 48, 51, 49, 53, 59, 55, 56, 10], [54, 63, 61, 62, 72, 65, 80, 70, 66, 64, 71, 69, 67, 74, 68, 76, 73, 77, 75, 78], [88, 87, 79, 82, 81, 85, 86, 83, 84]]
7: [[37, 7], [18, 33, 4, 3], [8, 9, 1, 2, 12, 22], [14], [6, 25], [15, 28, 11, 29, 5, 17, 60, 24, 16, 21], [20, 53, 26, 27, 30, 40, 55, 34, 31, 32, 39, 35, 41, 42, 45, 47, 19, 48, 44, 46, 36, 49, 51, 50, 10], [56, 63, 54, 57, 58, 38, 59, 61, 52, 62, 66], [70, 43, 78, 73, 64, 68, 65, 79, 69, 72, 71, 74, 13, 23], [76, 75, 77, 82, 80, 81, 86, 67, 83, 84, 87, 85, 88]]
8: [[37, 7], [18, 33], [4, 3], [8, 9, 32], [5, 1, 2, 14, 12, 27, 6, 22, 29, 10, 21, 30, 20, 17, 23, 11, 15, 50, 52, 16, 26, 19, 57, 56, 31, 24, 54, 45, 36, 25, 42, 34, 28, 13, 38, 46, 40, 35, 47, 44, 59, 39, 48, 51], [61, 49, 41, 55, 43, 53, 58, 63, 62, 60, 66, 65, 80, 74, 67, 68, 70, 77, 71, 64, 69, 73, 72, 75, 76, 78, 88, 87, 79, 82, 81, 86, 83, 85, 84]]
9: [[37, 7], [18, 33], [4, 3], [8, 9, 1, 2, 13, 12, 10, 31], [6], [23, 14, 22, 5, 24, 25, 11, 28], [19, 29, 16, 15, 53, 50], [17, 20, 27, 57, 26, 32, 51, 30, 21, 60, 40, 35, 36, 59, 34, 38, 39, 41, 44], [46, 43, 56, 62], [63, 42, 47, 48], [49, 54, 52, 55, 58, 82, 45, 66, 61, 64, 67, 65, 71, 72, 68, 77, 74, 69, 73, 84, 78, 75, 88, 86, 83, 70, 85, 87, 76, 79], [80, 81]]
10: [[37, 7], [18, 33], [4, 3], [8, 9], [6, 5], [1, 13, 29, 2, 11, 10], [22, 14, 12, 19, 17, 16, 20, 27, 21, 31, 24, 23], [49, 25], [26, 28, 30, 52, 34, 15, 44, 39, 42, 38, 32, 40, 43, 41], [46, 48, 45, 47, 60, 54, 35, 36, 51, 57, 50, 61, 53, 55], [56, 63, 58, 59, 62, 68], [64, 65, 70, 67, 69, 66, 71, 74], [79, 72, 73, 77, 76, 78, 75, 82, 81, 80, 84, 83, 85, 87, 86, 88]]
