0: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
1: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
2: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
3: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
4: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
5: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
6: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
7: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
8: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
9: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
10: [[50, 34, 37, 36, 45, 59, 46, 25, 28], [7, 55, 35, 54, 44, 2, 11, 27], [60, 1, 14, 4, 12, 33, 3, 29, 10], [16, 41, 15, 5, 8, 24, 9, 18], [22, 30, 40, 23], [13, 42, 17, 43, 19, 21, 6], [51, 26, 20, 32, 31, 39, 38, 47], [48, 52, 53, 56, 58, 57, 49]]
