0: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5], [7, 11, 10], [9, 17, 13], [29, 18, 14], [16, 23, 22], [28, 24], [21, 26, 27]]
1: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5], [7, 11, 10], [9, 17, 13], [29, 18, 14], [16, 23, 22], [28, 24], [21, 26, 27]]
2: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5], [7, 11, 10], [9, 17, 13], [29, 18, 14], [16, 23, 22], [28, 24], [21, 26, 27]]
3: [[19, 6], [4, 12, 5], [3, 1, 2, 13, 8, 25, 7, 22, 10, 11, 14, 28, 20, 15, 23], [17, 16], [18, 9, 24], [29, 21, 26, 27]]
4: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5, 7], [11, 9], [10, 13, 14, 16], [18, 23, 17, 22, 28, 24, 29, 21], [26, 27]]
5: [[19, 6, 4, 12], [20, 3], [1, 2, 11, 9, 25, 5, 7, 10, 8, 14, 13, 21, 17, 18, 15], [16, 23, 22, 28], [24], [29, 26, 27]]
6: [[19, 6], [4, 12, 20, 3], [1, 2, 15], [8, 25, 5], [7, 11, 10], [9, 14, 13, 23, 18, 16, 17, 21, 29, 22], [24, 26, 28, 27]]
7: [[19, 6], [4, 12], [22, 1], [2, 3, 11], [8, 25, 5, 7, 10, 9, 13, 14, 21, 20, 18, 15, 17, 16, 23], [28, 24], [29, 26, 27]]
8: [[19, 6], [4, 12, 20, 3], [1, 2], [15, 8, 25, 5], [7, 11, 10], [9, 16], [13, 29], [18, 24], [17, 14, 23, 22, 28], [21, 26], [27]]
9: [[19, 6], [4, 12], [22, 1, 3, 2], [15, 8, 25, 5, 7, 11, 10, 9, 13, 14, 28, 18, 17, 16, 20, 29, 23, 24, 21], [26, 27]]
10: [[19, 6], [4, 12], [17, 3], [1, 2], [15, 8], [25, 5, 7], [11, 10, 9], [21, 13], [29, 18, 14], [16, 22, 20], [23, 24, 28], [26, 27]]
11: [[19, 6], [4, 17], [3, 1], [2, 15], [25, 5], [7, 11, 8], [9], [13, 28, 18, 10], [16, 14], [21, 20], [23, 24, 12, 22], [29, 26, 27]]
12: [[19, 6, 4, 12], [22, 1, 2, 3, 11, 8], [25, 5, 7, 10, 15, 9, 13, 14, 29, 18, 17, 24, 16, 21, 20], [28, 23, 26, 27]]
13: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5], [7, 11], [10, 9], [22, 13], [29, 18], [14, 16], [21, 28, 23], [24, 17, 26, 27]]
14: [[19, 6, 4, 12], [20, 3], [1, 2, 15, 8], [25, 5, 7], [10, 11, 9], [14, 13, 29], [18, 17, 16, 21, 28, 23, 24, 22, 26, 27]]
15: [[19, 6], [4, 12, 20], [3, 1], [2, 15, 10], [25, 5], [7, 8, 13, 9, 14, 28, 21, 18, 11, 16, 22, 23, 29, 17, 24, 26, 27]]
16: [[19, 6], [4, 12, 20], [3, 1], [2, 15, 8], [25, 5, 7, 10, 11, 9, 13, 14, 29, 18, 16, 24, 17, 22, 28], [21, 23, 26, 27]]
17: [[19, 6], [4, 12, 20], [3, 1], [2, 15, 8], [25, 5], [7, 11, 10], [9, 29, 13, 14], [18, 21, 16, 17, 22, 23, 24, 26, 28, 27]]
