0: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
1: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
2: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 23, 16], [29, 21, 20, 27, 25, 26, 28]]
3: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
4: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 10, 14, 24, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
5: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 10, 14, 24, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
6: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
7: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
8: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
9: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 14, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
10: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
11: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 14, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
12: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
13: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
14: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 23, 16], [29, 21, 20, 27, 25, 26, 28]]
15: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
16: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
17: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 16, 10, 23], [29, 21, 20, 25, 27, 26, 28]]
18: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
19: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 23, 14, 16], [29, 21, 20, 27, 25, 26, 28]]
20: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
21: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
22: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 14, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
23: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 14, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
24: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
25: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 10, 23, 16], [29, 21, 20, 27, 25, 26, 28]]
26: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
27: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 16, 23, 10, 14], [29, 21, 20, 27, 25, 26, 28]]
28: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 16, 10, 23], [29, 21, 20, 27, 25, 26, 28]]
29: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 14, 16, 10, 23], [29, 21, 20, 25, 27, 26, 28]]
30: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 23, 16], [29, 21, 20, 27, 25, 26, 28]]
31: [[9, 17, 19, 7, 6, 5, 1, 2, 22], [3, 4, 8, 11, 12], [13, 15, 18, 24, 10, 14, 16, 23], [29, 21, 20, 27, 25, 26, 28]]
