0: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
1: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
2: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
3: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
4: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
5: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
6: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
7: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
8: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
9: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
10: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
11: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
12: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
13: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
14: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
15: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
16: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
17: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
18: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
19: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
20: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
21: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
22: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
23: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
24: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
25: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
26: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
27: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
28: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
29: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
30: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
31: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
32: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
33: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
34: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
35: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
36: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
37: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
38: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
39: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
40: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
41: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
42: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
43: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
44: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
45: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
46: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
47: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
48: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
49: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
50: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
51: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
52: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
53: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
54: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
55: [[11, 3, 5, 6, 22, 1, 10], [4, 15, 16, 8, 13, 12, 14], [2, 9, 7, 18, 17, 19, 24], [20, 21, 23, 25, 26, 27, 29, 28]]
