0: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 16, 11, 19, 15, 17, 18, 29, 10, 12, 14], [23, 22], [21, 26, 27], [28, 24]]
1: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 16, 11, 19, 15, 17, 18, 29, 10, 12, 14], [23, 22], [21, 26, 27], [28, 24]]
2: [[5, 25], [3, 20], [6, 2, 1, 7], [4, 13, 9, 18, 10, 23, 22, 17, 15, 16], [11, 8], [12, 14, 19], [27, 21, 26, 29], [24, 28]]
3: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 9, 13, 8, 16, 11, 19, 15, 17, 18, 29, 10, 12, 14], [23, 22, 21], [26, 27], [28, 24]]
4: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 18, 11, 10, 15, 14, 16, 28, 17, 12, 22, 19], [23, 27, 26, 21], [24, 29]]
5: [[5, 25], [3, 20], [6, 2, 1, 7], [4, 13, 9, 18, 11, 22, 17, 14, 15, 16, 19, 8, 10, 12], [21, 26, 23], [27, 29], [24, 28]]
6: [[5, 25], [3, 20, 6, 2, 1, 7, 4, 13, 9, 8, 16, 11, 19, 12, 17, 18, 22, 10, 15, 14], [23, 21, 29, 26, 27, 24, 28]]
7: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 26, 11, 10, 14, 12, 15, 16, 19, 23, 22], [17, 18], [27, 21, 29, 28, 24]]
8: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 9, 13, 8, 16, 19, 10, 15, 17, 18, 11, 22, 12, 14], [23, 24], [27, 28, 26], [29, 21]]
9: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 18, 11, 16, 15, 17, 19, 22, 10], [12, 14], [23, 21, 28], [26, 27, 29, 24]]
10: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 18, 11, 16, 15, 17, 19, 22, 10], [12, 14], [23, 21, 28], [26, 27, 29, 24]]
11: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 22, 12, 19, 15], [28, 18, 10, 11, 14, 16, 17, 23, 21, 26, 24, 27, 29]]
12: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 16, 11, 18, 15, 17, 19, 22, 10, 12, 14], [23, 21], [28, 24, 26], [29, 27]]
13: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 8, 12], [9, 11, 28, 15, 22, 17, 21, 23, 19, 26, 16, 18, 24, 29, 27, 10, 14]]
14: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 16, 19, 10, 15, 17, 18, 11, 22], [12, 14], [23, 24], [27, 28, 26], [29, 21]]
15: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 29, 9, 8, 10, 11, 12, 15, 13, 16, 14, 21, 17, 22, 23, 26, 18, 19, 27, 28, 24]]
16: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 22, 12, 18, 15], [29, 11], [10, 14, 19, 16, 17, 21, 23, 26, 24, 27, 28]]
17: [[5, 25], [3, 20], [6, 2, 1, 7], [4, 29, 9, 8], [10, 11, 14, 15, 13, 16, 12, 19, 17], [22, 18, 26, 21], [27, 23], [24, 28]]
18: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 16, 11, 19, 15, 17, 18, 29, 10], [12, 14], [23, 21], [22, 26, 27], [28, 24]]
19: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 29], [9, 8, 10, 11, 14, 12, 15, 13, 16, 26, 17, 18], [22, 19, 21, 27], [23, 24, 28]]
20: [[5, 25], [3, 20], [6, 2, 1, 7, 4, 9, 12], [8, 18], [27, 15], [10, 16, 22, 11, 23, 13, 14, 17, 19, 21, 24, 26, 28, 29]]
21: [[5, 25], [3, 20], [6, 2, 1, 7, 4, 29, 9, 8], [10, 11, 13, 15, 12], [18, 14, 16, 19, 21, 17, 22, 23, 27, 24, 26, 28]]
22: [[5, 25], [3, 20, 6, 2, 1, 7, 4, 13, 9, 8], [10, 11, 15, 12, 22, 14, 21, 19, 16, 17, 18, 23, 29], [26, 28, 27, 24]]
23: [[5, 25], [3, 20], [6, 2, 1, 7, 4, 9, 12], [8, 16], [19, 11, 15], [17, 18], [10, 22, 13, 21, 23, 24, 27, 28], [26, 29, 14]]
24: [[5, 25], [3, 20], [6, 2, 1, 7, 4, 13, 9, 8, 18, 11, 22, 12, 10, 14], [21, 17], [15, 19, 16, 26, 23], [27, 29, 24, 28]]
25: [[5, 25], [3, 20, 6, 2], [1, 7, 4, 13, 9, 8, 26, 12, 10, 11, 21, 14, 19, 15, 17], [22, 16, 18, 29], [23, 27], [28, 24]]
26: [[5, 25], [3, 20], [6, 2, 1], [7, 4], [13, 9, 8, 10, 15, 11, 12, 14, 19, 21, 23, 29, 17, 18, 16, 24, 26, 27, 22, 28]]
27: [[5, 25], [3, 20], [6, 2, 1, 7, 4], [13, 9, 24, 11, 27, 23, 12, 14, 18, 17, 8, 10, 15, 16, 26, 19, 21, 29, 22, 28]]
28: [[5, 25], [3, 20], [6, 2], [1, 7], [4, 9], [8, 13, 10, 11, 15], [14, 22, 12, 16, 17, 21, 23, 19, 18, 27, 26, 28, 24, 29]]
29: [[5, 25], [3, 20], [6, 2, 1], [7, 4], [13, 9], [8, 16], [11, 19, 15, 17, 18, 22, 10, 12, 14], [23, 21], [28, 26, 27], [29, 24]]
30: [[5, 25], [3, 20], [6, 2], [1, 7], [4, 13, 9], [8, 18, 11, 19], [15, 17, 16, 22, 10, 12, 14, 23, 21, 28, 26, 27, 29, 24]]
31: [[5, 25], [3, 20, 6], [2, 1], [7, 4], [13, 9], [8, 10, 11, 15, 14], [12, 22, 16, 19], [17, 18], [21, 24, 27, 23, 28], [26, 29]]
32: [[5, 25], [3, 20], [6, 2, 1], [7, 4], [9, 13], [8, 18, 19, 10, 15, 17, 16, 11, 22], [12, 14], [23, 24, 27], [26, 28, 29, 21]]
33: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 9, 13], [8, 16], [19, 11, 15], [10, 18, 17, 22, 12, 14, 23, 27, 26, 28, 24, 29, 21]]
34: [[5, 25], [3, 20, 6], [2, 1], [7, 4], [13, 9, 12, 8, 11, 15, 10, 14, 19, 17, 16, 22, 18, 23, 21, 24, 26, 27, 29, 28]]
35: [[5, 25], [3, 20, 6, 2, 1, 7, 4, 9, 12, 8, 26], [11, 15, 14, 10, 16, 17, 19, 13, 21, 18, 22, 27, 23, 28], [24, 29]]
36: [[5, 25], [3, 20, 6, 2], [1, 7], [4, 13, 9, 16, 11, 12, 23, 21, 15, 19, 18, 8, 17, 27, 14, 10, 22, 26, 29, 28, 24]]
37: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 10, 8, 18, 9], [16, 11, 12], [14, 23, 15, 21], [22, 17, 19, 28, 24, 26], [29, 27]]
38: [[5, 25], [3, 20, 6, 2], [1, 7], [4, 13, 9, 8, 27, 10, 11, 15, 14, 19, 28, 17, 12, 16, 18, 22, 23, 26, 21, 24, 29]]
39: [[5, 25], [3, 20], [6, 2, 1, 7, 4], [13, 9], [8, 18, 27], [10, 15, 19, 11], [14, 23, 12, 22, 17, 16, 21, 26, 28, 29, 24]]
40: [[5, 25], [3, 20], [6, 2], [1, 7], [4, 12], [9, 8, 11, 13], [19, 15], [28, 18, 10, 21, 14, 16], [17, 22, 23, 26, 27], [24, 29]]
41: [[5, 25], [3, 20, 6, 2, 1, 7, 4, 13, 9, 8, 26, 15, 10, 11, 29], [14, 19, 12, 17], [22, 16], [18, 21, 23, 27, 28, 24]]
42: [[5, 25], [3, 20], [6, 2, 1, 7, 4, 13, 9, 8, 18], [11, 16], [15, 17, 19], [29, 10, 12, 14], [23, 21, 22, 26, 27, 28, 24]]
43: [[5, 25], [3, 20, 6], [2, 1], [7, 4], [13, 9, 8], [18, 11, 12, 15], [17, 16, 28, 10, 19, 14, 21], [22, 26, 27, 23], [24, 29]]
44: [[5, 25], [3, 20, 6], [2, 1], [7, 4], [13, 9], [8, 10, 11], [15, 12], [14, 18], [29, 17], [22, 21], [19, 16], [27, 26, 24], [28, 23]]
45: [[5, 25, 3, 20], [6, 2], [1, 7, 4, 12, 13, 9], [24, 11, 15, 14, 10, 18, 21, 23, 8], [16, 19], [17, 27, 22, 26, 29, 28]]
46: [[5, 25], [3, 20], [6, 2], [1, 7, 4, 13, 9, 8, 18, 11, 10, 15, 14, 16], [28, 17, 12, 21], [19, 23], [22, 26, 27, 24, 29]]
47: [[5, 25, 3, 20, 6], [2, 1], [7, 4], [9, 12, 8, 14, 19, 11, 15], [21, 16], [10, 13, 17], [18, 23], [24, 22, 28], [27, 26, 29]]
48: [[5, 25], [3, 20], [6, 2], [1, 7], [4, 13], [8, 9], [10, 11, 14], [15, 12], [23, 21], [16, 17, 22], [19, 18, 27], [26, 29], [28, 24]]
49: [[5, 25], [3, 20, 6], [2, 1], [7, 4, 13, 9, 8, 18, 11], [12, 15], [26, 16, 28], [10, 17], [14, 23, 22, 21, 19, 27, 29, 24]]
50: [[5, 25], [3, 20], [6, 2, 1], [7, 4, 13], [9, 8, 18], [10, 19], [12, 23], [11, 26, 14], [15, 16, 17], [21, 22, 24], [28, 29, 27]]
51: [[5, 25], [3, 20], [6, 2, 1, 7], [4, 13, 9], [8, 18, 11], [16, 14], [17, 10], [12, 15], [19, 21], [22, 23, 27, 29, 24], [26, 28]]
52: [[5, 25, 3, 20, 6, 2, 1, 7], [4, 13, 8], [9, 16, 11, 10, 15, 14, 18, 26, 17, 12, 22, 19, 23, 27, 28, 21, 24, 29]]
53: [[5, 25], [3, 20, 6, 2], [1, 7], [4, 9], [12, 8, 16], [18, 10, 11, 17], [14, 15, 22], [13, 27, 19, 23], [24, 29, 26, 28, 21]]
54: [[5, 25], [3, 20, 6], [2, 1], [7, 4, 13], [9, 8, 26, 11], [19], [14], [22, 18, 12, 10, 15, 21, 16, 17, 24, 23, 27, 28, 29]]
55: [[5, 25], [3, 20], [6, 2, 1, 7, 4], [13, 9], [8, 18, 11], [27, 15], [22, 16, 28], [10, 12], [14, 23], [17, 21, 19, 24], [26, 29]]
56: [[5], [25, 3, 20, 6, 2, 1, 7, 4, 13, 9, 8, 10, 11, 14, 12, 15, 22, 17, 23, 18, 16, 21, 19, 27, 26, 29, 24], [28]]
57: [[5], [25, 3, 20, 6, 2, 1, 7, 4, 29, 9, 8, 12, 11, 13, 15, 10, 14, 17, 18, 16, 23, 21, 22, 19, 26, 27, 24], [28]]
58: [[5, 25, 3], [20, 6, 2, 1], [7, 4, 13], [9, 8, 26, 14, 19, 10, 15, 11, 12, 22, 18, 17, 16, 21, 23, 24, 28, 27, 29]]
59: [[5, 25, 3, 20, 6, 2, 1, 7, 4, 13, 9], [8, 26, 11, 19, 12, 22, 18], [10, 15, 14, 16, 17, 23, 27, 21, 29, 24, 28]]
