0: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
1: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
2: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
3: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
4: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
5: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
6: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
7: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
8: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
9: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
10: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
11: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
12: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
13: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
14: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
15: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
16: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
17: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
18: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
19: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
20: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
21: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
22: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
23: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
24: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
25: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
26: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
27: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
28: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
29: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
30: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
31: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
32: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
33: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
34: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
35: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
36: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
37: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
38: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
39: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
40: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
41: [[2, 5, 10, 7], [11, 3, 1, 8], [17, 12, 9], [16, 14, 6, 15], [13, 4], [18, 20, 19]]
