0: [[3, 1, 11], [6, 2, 10, 7, 5, 8, 4, 9], [12, 13], [14, 15, 16], [19, 17, 18, 20]]
1: [[3, 1, 11], [10, 7, 5, 6], [9, 8, 2], [12, 13, 4], [14, 15, 16], [19, 17, 18, 20]]
2: [[3, 1, 11], [2, 10, 7, 5, 6], [8, 4, 9], [12, 13], [14, 15, 16], [19, 17, 18, 20]]
3: [[3, 1, 11], [7], [5, 4, 2, 10], [9, 8, 12, 13], [14, 15, 16, 6], [19, 17, 18, 20]]
4: [[3, 1, 11], [10, 7, 5, 6], [9, 8, 2], [12, 13, 14, 4], [15, 16], [19, 17, 18, 20]]
5: [[3, 1, 11], [10, 7, 5, 6], [9, 8, 2], [12, 13, 14, 4], [15, 16], [19, 17, 18, 20]]
6: [[1, 11, 3], [10, 7, 5, 6, 2], [4, 9], [8, 12, 13], [14, 15, 16], [19, 17, 18, 20]]
7: [[1, 11, 3], [10, 7, 5, 4, 6], [9, 8, 2], [12, 13, 14, 15, 16], [19, 17, 18, 20]]
8: [[1, 11, 3], [10, 7, 6], [5, 4, 9, 2], [8, 12, 13, 14], [15, 16], [19, 17, 18, 20]]
9: [[1, 11, 3], [10, 7, 6], [5, 4, 9, 2], [8, 12, 13, 14], [15, 16], [19, 17, 18, 20]]
10: [[1, 11, 3], [10, 7, 6], [5, 4, 9, 2], [8, 12, 13], [14, 15], [16, 19, 17, 18, 20]]
11: [[3, 1, 11], [7], [5, 4, 2], [9, 8, 12, 10], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
12: [[1, 11, 3], [10, 7, 6], [5, 4], [9, 8, 2], [12, 13, 14, 15], [16, 19, 17, 18, 20]]
13: [[3, 1, 11, 6], [7, 5, 10], [4, 9, 8, 2], [12, 13], [14, 15], [16, 19, 17, 18, 20]]
14: [[1, 11, 3], [10], [7, 5, 4, 2], [9, 8, 12], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
15: [[1, 11, 3], [2, 10, 6], [7, 5, 4], [9, 8, 12, 13], [14, 15, 16, 19, 17, 18, 20]]
16: [[3, 1], [11, 2, 10, 7, 5, 9, 8, 12, 6], [13, 14, 15, 4], [16, 19, 17, 18, 20]]
17: [[3, 1, 11], [7, 6, 10], [5, 4, 9, 2], [8, 12], [13, 14, 15, 16], [19, 17, 18, 20]]
18: [[1, 3], [2], [10, 7, 5], [4, 9], [8, 12, 11], [13, 14, 15, 16, 6], [19, 17, 18, 20]]
19: [[3, 1, 11, 6], [2, 10, 7, 5], [8, 4, 9], [12, 13, 14], [15, 16], [19, 17, 18, 20]]
20: [[1, 11, 3], [10, 7, 6], [5, 4], [9, 8, 2], [12, 13, 14], [15, 16], [19, 17], [18, 20]]
21: [[3, 1, 11, 6], [2, 10, 7, 5], [8, 4, 9], [12, 13, 14], [15, 16], [19, 17, 18, 20]]
22: [[1, 11, 3], [10], [7, 5, 4, 2], [9, 8, 12], [13, 14, 6], [15, 16], [19, 17, 18, 20]]
23: [[3, 1, 11], [10, 6], [7, 5], [9, 8, 2, 4], [12, 13, 14, 15], [16, 19, 17, 18, 20]]
24: [[3, 1, 11], [10, 7, 5, 6], [4, 9, 8, 2], [12, 13, 14, 15, 16, 19, 17, 18, 20]]
25: [[1, 11, 3], [2, 6], [10, 7, 5, 4, 9], [8, 12, 13, 14], [15, 16, 19, 17, 18, 20]]
26: [[3, 1, 11], [10, 6], [7, 5], [9, 8, 2, 4], [12, 13, 14], [15, 16, 19], [17, 18, 20]]
27: [[1, 11, 3], [2, 6], [10, 7, 5, 4], [9, 8, 12, 13, 14, 15], [16, 19, 17, 18, 20]]
28: [[1, 11, 3], [10, 7, 6], [5, 4, 9, 2], [8, 12, 13, 14], [15, 16, 19, 17], [18, 20]]
29: [[1, 3], [2, 10, 7, 5, 6], [4, 9], [8, 12, 11], [13, 14], [15, 16, 19, 17, 18, 20]]
30: [[3, 1, 11], [2, 10, 6], [7, 5, 9, 8, 12, 13, 14, 15, 4], [16, 19, 17, 18, 20]]
31: [[3, 1, 11], [2, 10, 6], [7, 5, 9, 8, 4], [12, 13, 14, 15, 16, 19, 17, 18, 20]]
32: [[3, 1, 11], [7, 10], [5, 4], [9, 8, 6, 2], [12, 13, 14, 15], [16, 19, 17], [18, 20]]
33: [[3, 1, 11, 6], [2, 10, 7, 5], [4, 9, 8, 12, 13, 14, 15, 16, 19, 17, 18, 20]]
34: [[1, 3], [2, 10, 7, 5, 6], [4, 9], [8, 12, 11], [13, 14, 15, 16], [19, 17, 18], [20]]
35: [[1, 11, 3], [2, 10, 6], [7, 5, 4], [9, 8, 12, 13, 14, 15, 16, 19, 17, 18, 20]]
36: [[3, 1, 11], [6, 2, 10, 7, 5, 4, 9, 8, 12, 13, 14, 15, 16, 19], [17, 18, 20]]
37: [[3, 1, 11, 6], [10], [7, 5, 4, 9, 2], [8, 12, 13, 14, 15], [16, 19, 17, 18, 20]]
38: [[1, 11, 3], [10], [7, 5, 4, 2], [9, 8, 12], [13, 14, 15], [16, 19, 6], [17, 18, 20]]
39: [[3, 1], [11, 6, 2], [10, 7, 5], [9, 8, 12, 4], [13, 14, 15, 16], [19, 17], [18, 20]]
40: [[3, 1], [11, 6, 2, 10], [7, 5, 4], [9, 8, 12], [13, 14, 15], [16, 19], [17, 18, 20]]
41: [[3, 1], [11, 6, 2, 10], [7, 5, 4, 9, 8, 12, 13, 14, 15, 16, 19, 17, 18, 20]]
