0: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
1: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
2: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
3: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
4: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
5: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
6: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
7: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
8: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
9: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
10: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
11: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
12: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 13, 11, 12], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
13: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
14: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
15: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 14, 16], [5, 28, 10, 20, 23], [21, 29, 26, 25, 27]]
16: [[22, 1, 17, 19, 2, 6], [15, 8, 4, 3, 12, 11, 13], [9, 24, 7, 18, 16, 14], [5, 28, 10, 23, 20], [21, 29, 26, 25, 27]]
