0: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
1: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
2: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
3: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
4: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
5: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
6: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
7: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
8: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
9: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
10: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
11: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
12: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
13: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
14: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
15: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
16: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
17: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
18: [[6, 5, 2], [11, 8, 3, 4, 10, 12], [1, 15, 7, 14], [9, 13, 17, 16], [18, 19, 23, 22], [20, 28, 25, 24], [21, 27, 26, 29]]
