0: [[10, 7], [13, 12], [14, 16, 4, 6, 15], [1, 3, 11], [5, 9], [2, 8], [18, 17, 19, 20]]
1: [[10, 7], [13, 12], [14, 16, 6], [15, 4], [1, 3, 11], [5, 9, 2, 8], [18, 17, 19, 20]]
2: [[10, 7], [13, 12], [14, 16, 4], [6, 15], [1, 3, 11], [5, 9, 2, 8], [18, 17, 19, 20]]
3: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3, 11], [5, 9], [2, 8], [18, 17, 19, 20]]
4: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3], [11, 5, 9], [2, 8], [18, 17, 19, 20]]
5: [[10, 7], [13, 12], [14, 16, 4, 6, 15], [1, 3, 11, 5], [2, 9], [8, 18, 17, 19, 20]]
6: [[10, 7], [13, 12, 14], [16, 6, 15], [4, 1], [3, 11], [5, 9, 2, 8], [18, 17, 19, 20]]
7: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3, 11], [5, 9, 2, 8], [18, 17], [19, 20]]
8: [[10, 7], [13, 12], [14, 16], [6, 15, 4], [1, 3], [11, 9], [5, 2], [8, 18, 17, 19, 20]]
9: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 15], [3, 11, 5], [2, 8, 9], [18, 17, 19, 20]]
10: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 15], [3, 11, 9], [5, 2, 8, 18], [17, 19, 20]]
11: [[10, 7], [13, 12, 14], [16, 6], [15, 4], [1, 3], [11, 9, 5], [2, 8, 18], [17, 19, 20]]
12: [[10, 7], [13, 12, 14], [16, 6], [15, 4], [1, 3], [11, 9, 5], [2, 8, 18], [17, 19, 20]]
13: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3, 11], [9, 5, 2], [8, 18, 17], [19, 20]]
14: [[10, 7], [13, 12], [14, 16, 6], [1, 15], [3, 11, 4], [5, 2, 8, 9], [18, 17], [19, 20]]
15: [[10, 7], [13, 12], [14, 16, 6], [1, 3, 11, 15], [5, 2, 9], [8, 18, 17, 19], [20, 4]]
16: [[10, 7], [13, 12, 14], [16, 6, 15], [4, 1, 3], [11, 9, 5], [2, 8, 18], [17, 19, 20]]
17: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 3, 11, 15], [5, 2, 9], [8, 18], [17, 19, 20]]
18: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 3, 15], [11, 5, 9], [2, 8, 18], [17, 19, 20]]
19: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3, 11], [5, 9, 2], [8, 17, 19], [20, 18]]
20: [[10, 7], [13, 12], [14, 16, 6], [1, 3], [11, 5, 2, 8, 18, 17, 4], [19, 20, 9, 15]]
21: [[10, 7], [13, 12, 14], [16, 4, 6], [1, 3, 15], [11, 5, 2, 8, 9], [18, 17, 19, 20]]
22: [[10, 7], [13, 12], [14, 16, 6], [1, 3, 4], [11, 5, 15], [2, 8], [18, 17, 19, 20, 9]]
23: [[10, 7], [13, 12], [14, 16], [4, 6, 15], [1, 3, 11], [5, 9], [2, 8, 18, 17], [19, 20]]
24: [[10, 7], [13, 12, 14, 16, 4, 15], [1, 6], [3, 11], [5, 2, 8, 9], [18, 17], [19, 20]]
25: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 3, 15], [11, 5, 9], [2, 8, 18, 17, 19, 20]]
26: [[10, 7], [13, 12, 14], [16, 6, 4, 15], [1, 3, 11], [5, 2, 8, 18, 17, 19, 20, 9]]
27: [[10, 7], [13, 12, 14, 16, 15], [1, 6], [3, 11], [5, 2, 8], [18, 17, 19, 20, 9, 4]]
28: [[10, 7], [13, 12], [14, 16, 4, 15], [6, 1, 3], [11, 5, 2, 8, 18, 17, 19, 20, 9]]
29: [[10, 7, 13], [12, 14, 15], [16, 4, 6], [1], [3, 11, 5], [2, 8, 9], [17, 19, 20, 18]]
30: [[10, 7], [13, 12], [14, 16, 6], [1, 3, 11, 4], [5, 2, 15], [8, 17, 19, 9], [20, 18]]
31: [[10, 7, 13, 12, 14], [16, 6, 4], [1, 3, 11, 15], [5, 2, 8, 9], [18, 17, 19, 20]]
32: [[10, 7], [13, 12, 14], [16, 6, 1, 4, 15], [3, 11, 5, 9], [2, 8, 18, 17, 19, 20]]
33: [[10, 7, 6], [13, 12, 14, 16, 15], [1, 4], [3, 11, 5, 9], [2, 8, 18, 17], [19, 20]]
34: [[10, 7, 6], [13, 12, 14, 16, 15], [1, 4], [3, 11, 5, 9], [2, 8, 18, 17], [19, 20]]
35: [[10, 7], [13, 12], [14, 16], [4, 6], [15, 1], [3, 11], [9, 5, 2], [8, 18, 17], [19, 20]]
36: [[10, 7], [13, 12], [14, 16, 4, 6], [1, 3, 15], [11, 5], [2, 9], [8, 18], [17, 19, 20]]
37: [[10, 7], [13, 12], [14, 16, 15], [6, 1], [3, 11, 5, 2, 8, 18, 17, 19, 20, 9, 4]]
38: [[10, 7], [13, 12, 14], [16, 4, 6], [1, 3, 15], [11, 5, 9], [2, 8, 18, 17], [19, 20]]
39: [[10, 7, 13], [12, 14, 16, 6, 15, 4, 1, 3, 11, 9, 5, 2, 8, 18, 17], [19, 20]]
40: [[10, 7, 13, 9], [12, 14], [16, 15, 1, 6], [3, 11, 5, 2, 8, 18, 17, 19, 20, 4]]
41: [[10, 7], [13, 12, 14, 16, 4], [6, 15, 1, 3, 11, 5, 9, 2, 18, 17, 19, 20, 8]]
