0: [[35, 7, 20, 27, 2], [1], [3, 12], [4, 15, 30, 6, 10], [25, 8], [16, 9, 18], [11, 13, 14, 5, 17, 21], [19, 23, 24, 31, 22, 28], [26], [29], [34], [32, 33, 36, 37], [46, 40], [38, 44, 56, 41], [43, 45, 39, 55], [42, 50, 48], [57, 49], [54, 60, 53, 47], [59, 51, 52, 58]]
1: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 9, 10, 13, 23, 15, 16, 19, 18, 17, 21, 31, 28, 26], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
2: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 9, 10, 13, 23, 15, 16, 19, 18, 17, 21, 31, 28, 26], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
3: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 10, 9, 8, 13, 15, 16, 21, 17, 18, 23, 19, 26, 31, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
4: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 15, 31, 17, 13, 18, 16, 19, 23, 21, 26, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
5: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [10, 8, 13, 9, 16, 15, 6, 17, 21, 18, 28, 19, 23, 26, 31], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
6: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [10, 8, 13, 9, 16, 15, 6, 17, 21, 18, 28, 19, 23, 26, 31], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
7: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 9, 10, 13, 15, 23, 21, 19, 16, 17, 18, 26, 31, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
8: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [8, 13, 9, 16, 15, 17, 18, 28, 19, 23, 26, 31, 10, 21, 6], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
9: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 13, 9, 10, 31, 19, 15, 16, 18, 23, 26, 21, 17, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
10: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 13, 23, 19, 31, 17, 16, 15, 21, 18, 28, 26], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
11: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 10, 8, 15, 31, 17, 13, 18, 16, 26, 19, 21, 28, 23], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
12: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 13, 9, 10, 31, 19, 15, 16, 18, 23, 26, 21, 17, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
13: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 13, 31, 16, 15, 19, 17, 18, 23, 21, 26, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
14: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 15, 31, 17, 13, 18, 19, 21, 23, 16, 26, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
15: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [15, 9, 8, 10, 6, 13, 18, 31, 17, 16, 19, 23, 21, 26, 28], [22, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
16: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 10, 13, 15, 22, 19, 23, 8, 17, 18, 16, 21, 31, 28], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
17: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 10, 8, 15, 13, 19, 21, 17, 23, 16, 18, 22, 31, 28], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
18: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 9, 10, 15, 21, 13, 17, 23, 22, 16, 18, 19, 31, 28], [29, 26, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
19: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 10, 19, 13, 15, 31, 9, 17, 16, 18, 22, 28, 21, 23], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
20: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 13, 15, 16, 18, 19, 22, 21, 23, 17, 28, 31], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
21: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 10, 15, 9, 31, 16, 21, 13, 22, 17, 18, 19, 28, 23], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
22: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 8, 10, 15, 9, 17, 19, 22, 13, 18, 16, 28, 21, 23, 31], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
23: [[35, 7, 20, 27, 1, 2, 3, 12, 4, 5, 14, 30, 25, 11, 24], [6, 9, 8, 10, 13, 31, 17, 15, 19, 16, 22, 21, 18, 23, 28], [26, 29, 42, 32, 33, 34, 36, 39, 37, 38, 44, 40, 41, 43, 45], [46, 47, 53, 50, 48, 49, 51, 54, 52, 55, 57, 59, 56, 58, 60]]
