0: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
1: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
2: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
3: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
4: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
5: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
6: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
7: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
8: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
9: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
10: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
11: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
12: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
13: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
14: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
15: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
16: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
17: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
18: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
19: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
20: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
21: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
22: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
23: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
24: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
25: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
26: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
27: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
28: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
29: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
30: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
31: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
32: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
33: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
34: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
35: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
36: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
37: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
38: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
39: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
40: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
41: [[6, 14, 5, 7, 4], [2, 10, 1, 8], [3, 11, 9], [12, 13], [18, 17, 16, 19, 20, 15]]
