0: [[3, 5], [4, 1], [6, 7, 8, 10, 11, 13, 9, 12, 2]]
1: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
2: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
3: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
4: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
5: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
6: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
7: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
8: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
9: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
10: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
11: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
12: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
13: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
14: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
15: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
16: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
17: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
18: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
19: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
20: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
21: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
22: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
23: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
24: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
25: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
26: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
27: [[3, 5], [1, 4], [2, 6, 7, 8, 10, 11, 13, 9, 12]]
