0: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24, 19], [17, 21, 27, 31], [25, 26, 28], [23, 30, 32, 37, 33, 34], [36]]
1: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24, 19], [17, 21, 27, 31], [25, 26, 28], [23, 30, 32, 37, 33, 34], [36]]
2: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24, 19], [17, 21, 27, 31], [25, 26, 28], [23, 30, 32, 37, 33, 34], [36]]
3: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15], [20, 16, 24, 19], [17, 21, 27], [31, 25, 26, 28], [23, 30, 32, 37, 33, 34, 36]]
4: [[35, 29, 1, 22, 2], [7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10, 15], [20, 16, 24, 19], [17, 21, 27], [31, 25, 26, 28], [23, 30, 32, 37, 33, 34, 36]]
5: [[35, 29, 1, 22, 2], [7, 3, 4, 11], [13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32, 37, 33, 34, 36]]
6: [[35, 29, 1, 22, 2, 7, 3], [4, 11, 13, 5], [12, 6, 18], [8, 14, 9], [10, 15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
7: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14, 9], [10, 15, 20, 16], [24, 19, 17], [21, 27, 31, 25, 26, 28], [23], [30, 32, 37, 33, 34, 36]]
8: [[35, 29, 1, 22, 2, 7, 3], [4, 11, 13], [5, 12], [6, 18, 8, 14, 9], [10, 15, 20, 16, 24, 19], [17, 21], [27, 31, 25, 26, 28], [23, 30, 32, 37, 33, 34, 36]]
9: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19], [17, 21, 27], [31, 25, 26, 28], [23, 30, 32, 37, 33], [34, 36]]
10: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19], [17, 21, 27], [31, 25, 26, 28], [23, 30, 32, 37, 33], [34, 36]]
11: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
12: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
13: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16], [24, 19, 17, 21], [27], [31, 25, 26], [28, 23, 30, 32, 37, 33], [34, 36]]
14: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15, 20, 16, 24], [19], [17, 21, 27, 31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
15: [[35, 29, 1, 22, 2, 7, 3, 4], [11], [13, 5, 12], [6, 18, 8, 14, 9, 10, 15, 20, 16, 24, 19, 17], [21, 27, 31, 25], [26, 28, 23, 30, 32, 37, 33, 34, 36]]
16: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10, 15], [20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
17: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14, 9], [10, 15, 20, 16], [24, 19, 17], [21, 27, 31], [25, 26, 28, 23, 30, 32, 37, 33], [34, 36]]
18: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14, 9], [10, 15, 20, 16], [24, 19, 17, 21, 27, 31, 25], [26, 28, 23, 30, 32, 37, 33, 34, 36]]
19: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15], [20, 16, 24], [19, 17, 21, 27], [31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
20: [[35, 29, 1, 22, 2], [7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14], [9, 10, 15], [20, 16, 24], [19, 17, 21], [27, 31, 25, 26, 28], [23, 30, 32, 37], [33, 34, 36]]
21: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14, 9], [10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
22: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5], [12, 6, 18], [8, 14, 9, 10, 15, 20, 16, 24, 19], [17, 21, 27, 31, 25, 26, 28, 23, 30, 32], [37, 33, 34, 36]]
23: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10, 15], [20], [16, 24, 19], [17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33], [34, 36]]
24: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12, 6], [18, 8, 14, 9, 10, 15, 20, 16, 24, 19, 17, 21], [27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
25: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8, 14, 9], [10, 15, 20], [16, 24, 19, 17], [21, 27, 31], [25, 26, 28, 23], [30, 32, 37, 33], [34, 36]]
26: [[35, 29, 1, 22], [2, 7, 3], [4, 11, 13, 5], [12, 6, 18, 8], [14, 9, 10], [15, 20, 16], [24, 19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
27: [[35, 29, 1, 22, 2, 7], [3, 4, 11, 13, 5, 12], [6, 18, 8, 14, 9, 10, 15], [20, 16, 24, 19, 17, 21, 27], [31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
28: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16, 24, 19], [17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
29: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15], [20, 16, 24, 19, 17, 21], [27, 31, 25, 26, 28, 23, 30], [32, 37, 33, 34, 36]]
30: [[35, 29, 1], [22, 2, 7], [3, 4, 11], [13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28], [23, 30], [32, 37, 33, 34, 36]]
31: [[35, 29, 1, 22, 2, 7, 3, 4], [11], [13, 5, 12], [6], [18, 8, 14], [9, 10, 15, 20, 16, 24, 19, 17, 21, 27, 31, 25], [26, 28, 23, 30, 32, 37, 33, 34, 36]]
32: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26], [28, 23, 30, 32, 37, 33], [34], [36]]
33: [[35, 29, 1, 22, 2, 7], [3, 4, 11, 13, 5, 12, 6, 18, 8, 14, 9, 10, 15, 20, 16, 24], [19, 17, 21, 27, 31, 25, 26, 28, 23, 30, 32, 37, 33, 34, 36]]
34: [[35, 29, 1, 22, 2, 7], [3, 4, 11], [13, 5, 12], [6], [18, 8, 14, 9], [10, 15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
35: [[35, 29, 1], [22, 2, 7], [3, 4, 11, 13], [5, 12, 6, 18, 8], [14, 9, 10, 15, 20], [16, 24, 19], [17, 21, 27, 31], [25, 26, 28], [23, 30, 32, 37], [33, 34, 36]]
36: [[35], [29, 1, 22], [2, 7, 3, 4], [11, 13, 5], [12, 6, 18], [8, 14, 9], [10, 15, 20, 16], [24, 19, 17, 21, 27], [31, 25, 26, 28], [23, 30, 32], [37, 33, 34, 36]]
37: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10, 15], [20], [16, 24, 19, 17, 21, 27], [31], [25, 26, 28, 23, 30, 32], [37, 33, 34, 36]]
38: [[35, 29, 1, 22], [2, 7, 3, 4], [11, 13, 5, 12], [6, 18, 8], [14, 9, 10], [15, 20, 16, 24], [19, 17, 21, 27], [31, 25, 26], [28, 23, 30, 32], [37, 33, 34, 36]]
39: [[35, 29, 1], [22, 2, 7], [3, 4, 11], [13, 5, 12], [6, 18], [8, 14, 9, 10], [15, 20, 16, 24, 19, 17], [21, 27, 31, 25, 26, 28, 23], [30, 32, 37, 33, 34, 36]]
40: [[35, 29, 1, 22, 2, 7, 3, 4], [11, 13, 5, 12, 6, 18, 8, 14], [9, 10, 15, 20], [16, 24, 19], [17, 21, 27], [31, 25, 26, 28, 23], [30, 32, 37, 33], [34, 36]]
