0: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14], [11, 12, 13], [15, 16], [18, 19, 17, 20]]
1: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14], [11, 12, 13], [15, 16], [18, 19, 17, 20]]
2: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14], [11, 12, 13], [15, 16, 18], [19, 17, 20]]
3: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14], [11, 12], [13, 15, 16], [18, 19, 17, 20]]
4: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12, 13], [15, 16, 18], [19, 17, 20]]
5: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12, 13], [15, 16, 18], [19, 17, 20]]
6: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14], [11, 12, 13], [15, 16, 18, 19], [17, 20]]
7: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12, 13], [15, 16, 18], [19, 17, 20]]
8: [[7, 5], [2, 1], [10, 8, 9], [6, 3], [4, 14], [11, 12, 13], [15, 16, 18], [19, 17, 20]]
9: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14, 11], [12, 13], [15, 16, 18], [19, 17, 20]]
10: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14, 11], [12, 13], [15, 16, 18], [19, 17, 20]]
11: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12, 13], [15, 16, 18, 19], [17, 20]]
12: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11], [12, 13], [15, 16], [18, 19, 17, 20]]
13: [[7, 5], [2, 1], [10, 8, 9], [6, 3, 4], [14, 11, 12], [13, 15, 16], [18, 19, 17, 20]]
14: [[7, 5], [2, 1], [10, 8, 9], [6, 3], [4, 14, 11], [12, 13], [15, 16, 18, 19], [17, 20]]
15: [[7, 5, 2, 1], [10, 8, 9], [6, 3, 4, 14], [11, 12, 13, 15, 16, 18, 19, 17, 20]]
16: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11], [12, 13], [15, 16], [18, 19], [17, 20]]
17: [[7, 5], [2, 1], [10, 8, 9], [6, 3], [4, 14, 11], [12, 13], [15, 16, 18, 19], [17, 20]]
18: [[7, 5], [2, 1], [10, 8, 9], [6, 3, 4], [14, 11, 12], [13, 15, 16, 18, 19, 17, 20]]
19: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11, 12], [13, 15, 16, 18], [19, 17, 20]]
20: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11, 12], [13, 15, 16, 18], [19, 17, 20]]
21: [[7, 5], [2, 1], [10, 8], [9, 6, 3, 4], [14, 11, 12, 13, 15, 16, 18, 19, 17, 20]]
22: [[7, 5], [2, 1], [10, 8, 9, 6], [3, 4], [14, 11, 12], [13, 15, 16, 18, 19, 17, 20]]
23: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14, 11], [12, 13, 15], [16, 18, 19], [17, 20]]
24: [[7, 5], [2, 1], [10, 8], [9, 6, 3], [4, 14, 11, 12], [13, 15], [16, 18, 19, 17, 20]]
25: [[7, 5, 2], [1, 10, 8, 9, 6, 3, 4, 14, 11], [12, 13, 15, 16, 18, 19, 17, 20]]
26: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11, 12], [13, 15, 16], [18, 19], [17, 20]]
27: [[7, 5, 2], [1, 10, 8, 9, 6, 3, 4, 14, 11], [12, 13, 15, 16, 18, 19, 17, 20]]
28: [[7, 5], [2, 1], [10, 8, 9], [6, 3], [4, 14, 11, 12], [13, 15, 16, 18, 19, 17, 20]]
29: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12], [13, 15], [16, 18, 19], [17, 20]]
30: [[7, 5], [2, 1, 10, 8, 9, 6, 3, 4, 14], [11, 12, 13, 15, 16, 18, 19, 17, 20]]
31: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14], [11, 12], [13, 15], [16, 18, 19], [17, 20]]
32: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4, 14, 11, 12, 13, 15, 16, 18, 19, 17, 20]]
33: [[7, 5], [2, 1], [10, 8], [9, 6, 3, 4, 14, 11, 12, 13, 15, 16, 18, 19, 17, 20]]
34: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11], [12, 13, 15], [16, 18], [19, 17, 20]]
35: [[7, 5], [2, 1], [10, 8, 9], [6, 3], [4, 14, 11], [12, 13, 15], [16, 18, 19], [17, 20]]
36: [[7, 5], [2, 1], [10, 8, 9, 6], [3, 4, 14, 11, 12, 13, 15, 16, 18, 19, 17, 20]]
37: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11, 12], [13, 15], [16, 18], [19, 17, 20]]
38: [[7, 5], [2, 1], [10, 8], [9, 6], [3, 4], [14, 11, 12], [13, 15], [16, 18, 19], [17, 20]]
39: [[7, 5, 2], [1, 10, 8], [9, 6, 3, 4, 14, 11, 12, 13, 15, 16, 18, 19, 17, 20]]
