0: [[9, 1], [8, 6, 13], [5, 4], [2, 14, 10], [7, 11], [12, 15, 18, 16, 3], [17, 20, 22, 19], [21, 23, 24]]
1: [[9, 1], [8, 6, 13], [5, 4], [2, 14, 10], [7, 11], [12, 15, 18, 16, 3], [17, 20, 22, 19], [21, 23, 24]]
2: [[9, 1, 19], [3, 8, 6, 13], [5, 4], [2, 14, 10], [7, 11], [12, 15, 18, 16], [17, 20, 22], [21, 23, 24]]
3: [[3, 8], [6, 13, 9, 1], [5, 4], [2, 14, 10], [7, 11], [12, 15, 18, 16], [17, 20, 22, 19], [21, 23, 24]]
4: [[9, 1], [8, 6, 13, 5, 4], [2, 14, 10], [7, 11], [12, 15], [18, 16, 3], [17, 20, 19], [22, 21, 23, 24]]
5: [[9, 1], [8, 6, 13, 5, 4], [2, 14, 10], [7, 11], [12, 15], [18, 16, 3], [17, 20, 19], [22, 21, 23, 24]]
6: [[9], [8, 6, 13], [5, 4], [2, 14, 10, 7], [11, 12, 15], [18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
7: [[9], [8, 6, 13], [5, 4, 2], [14, 10], [7, 11, 12, 15], [18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
8: [[9], [8, 6, 3], [13, 5, 4], [2, 14, 10], [7, 11, 12], [15, 18, 16], [17, 20, 22, 1, 19], [21, 23, 24]]
9: [[9], [8, 6], [13, 5, 4, 1, 19], [2, 14, 10], [7, 11], [12, 15], [18, 16, 3], [17, 20], [22, 21, 23, 24]]
10: [[9], [8, 6, 13, 5, 4, 3], [2, 14, 10], [7, 11, 12], [15, 18], [16, 17, 20, 1, 19], [22, 21, 23, 24]]
11: [[3, 8], [6, 13, 5], [4, 2, 1, 19], [14, 10, 7], [11, 12, 15], [18, 16], [17, 20, 22, 9], [21, 23, 24]]
12: [[9], [8, 6, 13], [5, 4], [2, 14], [10, 7, 11, 12], [15, 18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
13: [[9], [8, 6, 13], [5, 4, 19], [2, 14], [10, 7, 11, 12], [15, 18], [16, 17, 20, 22, 1, 3], [21, 23, 24]]
14: [[3, 8], [6, 13, 9, 1], [5, 4, 2], [14, 10, 7], [11, 12, 15], [18, 16], [17, 20, 22, 19], [21, 23, 24]]
15: [[9], [8, 6, 13, 3], [5, 4, 2], [14, 10, 7], [11, 12], [15, 18], [16, 17, 20, 1, 19], [22, 21, 23, 24]]
16: [[3, 8, 9], [6, 13, 5], [4, 2], [14, 10], [7, 11, 12], [15, 18], [16, 17, 20, 1, 19], [22, 21, 23, 24]]
17: [[9], [8, 6, 13], [5, 4], [2, 14], [10, 7], [11, 12, 15], [18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
18: [[9], [8, 6, 13], [5, 4], [2, 14], [10, 7], [11, 12, 15], [18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
19: [[9], [8, 6, 13], [5, 4], [2, 14], [10, 7], [11, 12, 15], [18, 16, 3], [17, 20, 22, 1, 19], [21, 23, 24]]
20: [[9], [8, 6, 13, 5, 4, 2, 14], [10, 7], [11, 12, 15], [18, 16, 3], [17, 20, 1, 19], [22, 21, 23, 24]]
21: [[9], [8, 6, 13, 5], [4, 2, 14], [10, 7], [11, 12], [15, 18], [16, 17, 1, 19, 3], [20, 22], [21, 23, 24]]
22: [[9], [6, 3], [13, 5], [4, 2, 1, 19], [14, 10], [7, 11], [12, 15, 8], [18, 16, 17, 20], [22, 21], [23, 24]]
23: [[9], [6, 3], [13, 5], [4, 2, 1, 19], [14, 10], [7, 11], [12, 15, 8], [18, 16, 17, 20], [22, 21], [23, 24]]
24: [[9], [8, 6, 13, 1, 19], [5, 4], [2, 14], [10, 7, 11, 12, 15], [18, 16, 17, 20, 3], [22, 21, 23, 24]]
25: [[9], [6], [13, 5], [4, 2, 1, 19], [14, 10, 7, 11], [12, 15, 8], [18, 16, 3], [17, 20], [22, 21], [23, 24]]
26: [[9], [8, 6], [13, 5, 4, 2, 1, 19], [14, 10], [7, 11], [12, 15, 18], [16, 17, 3], [20, 22, 21], [23, 24]]
27: [[3, 8, 9], [6, 13, 5], [4, 2, 14], [10, 7], [11, 12, 15, 18], [16, 17, 20, 1, 19], [22, 21, 23, 24]]
28: [[3, 8], [6, 13, 5], [4, 2, 1, 19], [14, 10, 7], [11, 12, 15, 18], [16, 17, 9], [20, 22, 21], [23, 24]]
29: [[3, 8, 19], [6, 13, 9, 1], [5, 4, 2], [14, 10, 7], [11, 12, 15], [18, 16, 17], [20, 22, 21], [23, 24]]
30: [[3, 8, 19], [6, 13, 9, 1], [5, 4, 2], [14, 10, 7], [11, 12, 15], [18, 16, 17], [20, 22, 21], [23, 24]]
31: [[9, 1], [8, 6, 3], [13, 5], [4, 2, 14, 10, 19], [7, 11, 12], [15, 18, 16, 17], [20, 22, 21, 23, 24]]
32: [[9, 1], [8, 6, 3], [13, 5], [4, 2, 14, 10, 19], [7, 11, 12], [15, 18, 16, 17], [20, 22, 21, 23, 24]]
33: [[9], [8, 6, 3], [13, 5], [4, 2, 1, 19], [14, 10, 7], [11, 12], [15, 18, 16, 17], [20, 22, 21], [23, 24]]
34: [[9], [8, 6, 13, 1], [5, 4], [2, 14], [10, 7], [11, 12], [15, 18], [16, 17, 19, 3], [20, 22, 21, 23, 24]]
35: [[9, 1], [8, 6, 13, 19, 3], [5, 4], [2, 14, 10], [7, 11, 12, 15], [18, 16, 17, 20, 22, 21, 23, 24]]
36: [[9, 1, 19], [3, 8, 6, 13], [5, 4], [2, 14, 10, 7, 11, 12], [15, 18, 16, 17, 20, 22, 21, 23, 24]]
37: [[9, 1], [8, 6, 13, 5, 4, 19, 3], [2, 14, 10], [7, 11, 12, 15], [18, 16, 17, 20, 22, 21, 23, 24]]
38: [[9], [8, 6], [13, 5], [4, 2, 14, 1, 19], [10, 7], [11, 12], [15, 18], [16, 17, 3], [20, 22, 21, 23, 24]]
39: [[9], [8, 6], [13, 5, 4, 1, 19], [2, 14], [10, 7], [11, 12, 15], [18, 16, 17, 3], [20, 22, 21, 23, 24]]
40: [[19, 3, 8, 1], [6, 13, 5, 9], [4, 2, 14, 10], [7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23, 24]]
41: [[9], [8, 6, 3], [13, 5], [4, 2, 1, 19], [14, 10], [7, 11, 12, 15], [18, 16, 17, 20, 22, 21, 23, 24]]
42: [[3, 8, 9, 1, 19], [6, 13, 5], [4, 2], [14, 10, 7], [11, 12, 15, 18], [16, 17, 20, 22, 21, 23, 24]]
43: [[9], [8, 6, 13, 1, 19, 3], [5, 4, 2], [14, 10, 7], [11, 12, 15], [18, 16, 17, 20, 22, 21, 23, 24]]
44: [[9], [8, 6], [13, 5, 4, 1, 19], [2, 14], [10, 7], [11, 12], [15, 18], [16, 3], [17, 20, 22, 21, 23, 24]]
45: [[9], [8, 6, 1, 19, 3], [13, 5], [4, 2, 14, 10], [7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23, 24]]
46: [[9, 1], [19, 3, 8, 6, 13, 5, 4, 2, 14, 10, 7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23], [24]]
47: [[9, 1], [19, 3, 8, 6, 13, 5, 4, 2, 14, 10, 7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23], [24]]
48: [[9], [3], [8, 6, 13, 5, 4, 2, 1, 19], [14, 10, 7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23, 24]]
49: [[9, 1], [19, 3, 8], [6, 13, 5, 4, 2, 14, 10, 7, 11, 12, 15, 18, 16, 17, 20, 22, 21, 23, 24]]
