0: [[6, 19, 14], [13, 7, 5, 10, 9], [1, 3], [8, 2], [12, 11], [20, 4, 15, 16, 17, 18]]
1: [[6, 19, 14], [13, 7, 5, 10, 9], [1, 3], [8, 2], [12, 11], [20, 4, 15, 16, 17, 18]]
2: [[6, 19, 14], [13, 7, 5, 10, 9], [1, 3], [8, 2], [12, 11], [20, 4, 15, 16, 17, 18]]
3: [[6, 19, 14, 13], [7, 5, 10, 9], [1, 3, 8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
4: [[6, 19, 14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16, 17, 18]]
5: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4, 15, 16, 17, 18]]
6: [[6, 19, 14], [13, 7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16, 17, 18]]
7: [[6, 19], [14, 13], [7, 5, 10], [9, 1, 3], [8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
8: [[6, 19], [14, 13], [7, 5, 10], [9, 1, 3], [8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
9: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
10: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
11: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16, 17, 18]]
12: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11], [20, 4], [15, 16, 17, 18]]
13: [[6, 19, 14], [13, 7], [5, 10], [9, 1, 3], [8, 2], [12, 11], [20, 4], [15, 16], [17, 18]]
14: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3, 8, 2], [12, 11, 20, 4, 15, 16, 17, 18]]
15: [[6, 19], [14, 13], [7, 5], [10, 9, 1, 3], [8, 2], [12, 11], [20, 4], [15, 16, 17, 18]]
16: [[6, 19, 14], [13, 7, 5], [10, 9], [1, 3, 8], [2, 12, 11], [20, 4, 15], [16, 17, 18]]
17: [[6, 19, 14], [13, 7, 5], [10, 9, 1], [3, 8, 2], [12, 11, 20, 4, 15, 16, 17, 18]]
18: [[6, 19, 14], [13, 7, 5], [10, 9], [1, 3], [8, 2, 12], [11, 20, 4], [15, 16], [17, 18]]
19: [[6, 19, 14], [13, 7, 5], [10, 9], [1, 3, 8, 2, 12], [11, 20, 4, 15, 16, 17, 18]]
20: [[6, 19], [14, 13], [7, 5], [10, 9, 1, 3, 8, 2], [12, 11, 20, 4], [15, 16, 17, 18]]
21: [[6, 19, 14], [13, 7, 5], [10, 9], [1, 3, 8, 2, 12, 11, 20], [4, 15, 16, 17, 18]]
22: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2], [12, 11, 20], [4, 15], [16, 17, 18]]
23: [[6, 19], [14, 13], [7, 5], [10, 9], [1, 3], [8, 2, 12, 11, 20, 4], [15, 16, 17, 18]]
24: [[6, 19], [14, 13], [7, 5, 10], [9, 1], [3, 8], [2, 12, 11, 20, 4], [15, 16, 17, 18]]
25: [[6, 19, 14], [13, 7], [5, 10], [9, 1, 3, 8, 2, 12, 11, 20, 4], [15, 16, 17, 18]]
26: [[6, 19], [14, 13, 7], [5, 10, 9], [1, 3], [8, 2, 12], [11, 20, 4], [15, 16], [17, 18]]
27: [[6, 19, 14], [13, 7, 5], [10, 9, 1, 3, 8, 2, 12, 11], [20, 4, 15], [16, 17], [18]]
28: [[6, 19, 14], [13, 7, 5, 10], [9, 1, 3, 8], [2, 12], [11, 20, 4, 15], [16, 17, 18]]
29: [[6, 19], [14, 13], [7, 5], [10, 9, 1, 3, 8], [2, 12, 11], [20, 4, 15], [16, 17, 18]]
30: [[6, 19], [14, 13, 7, 5], [10, 9, 1, 3, 8], [2, 12, 11, 20, 4, 15, 16, 17, 18]]
31: [[6, 19, 14], [13, 7], [5, 10], [9, 1], [3, 8, 2], [12, 11, 20], [4, 15, 16], [17, 18]]
32: [[6, 19], [14, 13], [7, 5, 10], [9, 1], [3, 8, 2, 12, 11, 20], [4, 15, 16, 17, 18]]
33: [[6, 19], [14, 13], [7, 5, 10, 9, 1, 3], [8, 2, 12, 11, 20, 4, 15, 16, 17, 18]]
34: [[6, 19], [14, 13], [7, 5], [10, 9, 1], [3, 8], [2, 12], [11, 20, 4], [15, 16], [17, 18]]
35: [[6, 19, 14], [13, 7], [5, 10, 9, 1], [3, 8, 2, 12, 11, 20, 4, 15, 16, 17, 18]]
36: [[6, 19], [14, 13, 7], [5, 10], [9, 1, 3], [8, 2], [12, 11, 20], [4, 15], [16, 17, 18]]
37: [[6, 19], [14, 13], [7, 5, 10], [9, 1], [3, 8], [2, 12], [11, 20], [4, 15, 16], [17, 18]]
38: [[6, 19, 14], [13, 7], [5, 10], [9, 1], [3, 8], [2, 12], [11, 20], [4, 15, 16, 17, 18]]
39: [[6, 19, 14], [13, 7], [5, 10], [9, 1], [3, 8, 2, 12], [11, 20, 4], [15, 16], [17, 18]]
