0: [[35, 7, 2], [1, 3, 4], [13, 5, 6, 21], [8, 9], [14, 24, 12], [11, 28, 16, 15, 10, 18], [22, 23], [19, 17, 27, 20, 25, 31], [26, 40, 45], [32, 29, 30, 37, 33, 47], [38, 44, 43], [34, 36, 42, 39, 41, 52], [46, 55, 51, 53, 54, 58], [50, 48], [59, 56, 60], [49, 57]]
1: [[35, 7, 2], [1, 3, 4], [13, 5, 6, 21], [8, 9], [14, 24, 12], [11, 28, 16, 15, 10, 18], [22, 23], [19, 17, 27, 20, 25, 31], [26, 40, 45], [32, 29, 30, 37, 33, 47], [38, 44, 43], [34, 36, 42, 39, 41, 52], [46, 55, 51, 53, 54, 58], [50, 48], [59, 56, 60], [49, 57]]
2: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 11], [24, 14, 15, 8, 9, 10, 12, 26, 18, 17, 31, 20], [23, 19, 22, 25, 28, 16, 27, 29, 30, 33, 37, 42, 34, 38, 36, 32, 44, 47, 46, 40, 39, 41], [45, 43, 53, 58, 48, 49, 50, 60, 54, 51, 52, 55, 57, 56, 59]]
3: [[35, 2, 7], [1, 3, 4], [13, 5, 11, 21, 6], [9, 8, 12, 15, 18, 10], [20, 14, 31, 16, 17, 19, 22, 23, 29, 30, 24, 27, 25, 28, 26, 33, 54, 45, 38, 34, 41, 32, 46, 36, 39, 40, 42, 44, 43, 47, 52, 48, 50, 49, 51, 53, 37, 55, 59], [57, 56, 58, 60]]
4: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [11, 26, 12, 15, 9, 8, 24, 14, 20, 10, 19], [27, 16, 22, 18, 23], [25, 17, 29, 30, 31, 28, 32, 45], [54, 42, 36, 33, 37, 46, 39, 34], [44, 38, 40, 47, 43], [53], [59, 49, 41], [52, 48, 55, 57, 50, 51, 56, 58, 60]]
5: [[35, 2, 7, 1], [3, 4, 13, 21, 5, 6, 11, 8, 30], [25, 10, 9, 15, 24, 12, 14, 16, 17, 18, 29, 20, 19, 28], [26, 22, 23, 31, 27], [32, 36, 33, 37, 34, 43, 39, 38, 40], [41, 45, 44, 42, 46, 47, 53, 57, 56, 49], [55, 48, 50, 51, 54, 59, 52, 58, 60]]
6: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 10, 14, 16, 8], [9, 11, 28, 12, 18, 22, 17], [15, 31, 19, 20, 24, 25, 29, 26, 23, 27, 52, 37, 58, 38, 30, 46, 39, 42, 45, 32, 33, 47, 41, 36, 44, 40, 43], [34], [49, 54, 51, 48, 50, 55, 57, 56, 53, 60, 59]]
7: [[35, 2, 7], [1, 3, 4, 13, 21, 5, 6, 24, 8, 30, 11, 25, 9, 31, 12, 20, 14, 23, 10, 16, 18, 15, 22, 17, 19, 26, 27, 28, 29, 32, 33, 34, 46, 36, 37, 39, 40, 41, 38, 47, 44, 42, 43, 45, 60, 51, 56, 55], [48, 50, 57, 49, 54, 52, 53, 58, 59]]
8: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 9], [8, 14, 15, 11, 12, 10, 19, 26, 18, 22, 31, 20, 27, 23, 17, 24, 28, 16, 25, 29, 30, 33, 37, 46, 32, 38, 36, 34, 45, 41, 47, 44, 39, 42, 40, 43, 49, 50, 48, 52, 51, 56, 54, 55, 57], [59, 53, 60, 58]]
9: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6], [9, 8], [14, 11], [10, 12, 23, 15, 18, 30, 16, 20, 27, 17, 22, 19, 25, 24, 28, 26, 31, 29, 32, 38, 45, 40, 34, 37, 42, 36, 33, 39, 44, 46, 47, 43, 49, 51, 58, 56, 48, 52, 50, 54, 41, 53, 60, 55, 59, 57]]
10: [[35, 2, 7], [1, 3, 4], [13, 21, 5, 6, 10, 9, 8, 11, 27, 14, 28, 15, 12, 31, 19, 22, 16, 17, 18, 20, 25, 23, 24, 26, 30, 29, 48, 45, 32, 42, 36, 33, 39, 44, 40, 41, 46, 34, 37, 43, 38, 52, 58, 47, 50], [49, 56, 53, 59, 54, 51, 55, 57, 60]]
