0: [[1], [33, 3, 5, 14, 26, 15, 6, 10], [11, 9, 4, 7, 16, 8, 22, 18], [13, 27, 21], [19, 20], [25, 23], [30, 24, 31, 28, 12], [32, 17, 40, 48], [36], [37, 38, 29], [34], [55], [44], [46], [42, 43], [41, 39, 45, 47], [50, 56, 51, 52], [35, 53, 54, 2], [59], [57, 49], [58, 60]]
1: [[1], [33, 3, 5, 14, 26, 15, 6, 10], [11, 9, 4, 7, 16, 8, 22, 18], [13, 27, 21], [19, 20], [25, 23], [30, 24, 31, 28, 12], [32, 17, 40, 48], [36], [37, 38, 29], [34], [55], [44], [46], [42, 43], [41, 39, 45, 47], [50, 56, 51, 52], [35, 53, 54, 2], [59], [57, 49], [58, 60]]
2: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 8, 9, 13, 15, 10, 16, 17, 18, 21, 22, 23, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
3: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 9, 8, 10, 13, 15, 16, 18, 21, 23, 17, 22, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
4: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 8, 9, 10, 15, 13, 17, 18, 16, 22, 21, 23, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
5: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 8, 9, 10, 15, 13, 17, 18, 16, 21, 22, 23, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
6: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 8, 9, 10, 15, 13, 17, 18, 16, 23, 22, 21, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
7: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 9, 10, 8, 15, 13, 17, 23, 16, 21, 18, 22, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
8: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 9, 8, 10, 15, 13, 22, 17, 16, 21, 18, 23, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
9: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 9, 8, 10, 13, 15, 18, 17, 16, 21, 22, 23, 28], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
10: [[20, 35, 7, 1, 2, 12, 19, 11, 3, 5, 27, 4, 14, 31, 24, 30], [6, 8, 9, 13, 10, 15, 17, 18, 21, 16, 22, 28, 23], [25, 26, 29, 36, 32, 33, 42, 37, 34, 39, 44, 38, 40, 43, 41, 45], [47, 46, 49, 55, 52, 51, 48, 50, 53, 54, 58, 57, 56, 59, 60]]
