0: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
1: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
2: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
3: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
4: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
5: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
6: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
7: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
8: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
9: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
10: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
11: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
12: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
13: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
14: [[9, 19, 4, 1, 2], [5, 3, 7, 24, 6, 11, 10, 14], [8, 13, 15, 17, 18, 16, 23, 22, 12], [28], [20, 25], [21, 26, 27, 29]]
