0: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
1: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
2: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
3: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
4: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
5: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
6: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
7: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
8: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
9: [[8, 6, 11], [13, 9, 7], [10, 4], [12, 5, 2], [1, 3]]
10: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
11: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
12: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
13: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
14: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
15: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
16: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
17: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
18: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
19: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
20: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
21: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
22: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
23: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
24: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
25: [[8, 6, 11], [13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
26: [[8, 6], [11, 13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
27: [[8, 6], [11, 13, 7], [9, 10, 4], [12, 5, 2], [1, 3]]
