0: [[14, 35, 20, 1, 2], [33, 7, 3, 4], [13, 17, 6, 21], [25, 5, 8, 9, 27, 10, 18], [12, 24], [29, 11, 19, 31, 15, 16, 30], [23, 28, 22, 40, 52, 50, 26], [37, 36, 42, 32, 45, 34, 39], [44, 41, 43, 38, 46], [58, 47, 53, 51], [48, 49, 55, 57], [54, 59, 60, 56]]
1: [[14, 35, 20, 1, 2], [33, 7, 3, 4], [13, 17, 6, 21], [25, 5, 8, 9, 27, 10, 18], [12, 24], [29, 11, 19, 31, 15, 16, 30], [23, 28, 22, 40, 52, 50, 26], [37, 36, 42, 32, 45, 34, 39], [44, 41, 43, 38, 46], [58, 47, 53, 51], [48, 49, 55, 57], [54, 59, 60, 56]]
2: [[14, 35, 20, 1, 2], [33, 7, 3, 4], [13, 17, 6, 21], [25, 5, 8, 9, 27, 10, 18], [12, 24], [29, 11, 19, 31, 15, 16, 30], [23, 28, 22, 40, 52, 50, 26], [37, 36, 42, 32, 45, 34, 39], [44, 41, 43, 38, 46], [58, 47, 53, 51], [48, 49, 55, 57], [54, 59, 60, 56]]
3: [[14, 35, 2], [20, 32, 33], [7, 3, 4, 13, 21, 6, 5], [1, 10, 8, 11, 12, 15, 9, 28, 16, 23, 18, 19, 17, 25, 24, 26, 27, 30, 31, 58, 22, 50, 46, 29, 36, 39, 34, 38, 40, 41, 43, 42, 45, 37, 44, 47], [48, 53, 51, 54, 52, 55], [56, 60, 59, 57, 49]]
4: [[14, 35, 20, 1, 2, 33, 7, 3, 4], [13, 21, 5], [6, 25, 10, 8, 9, 27, 11, 15, 12, 24, 29, 16, 17, 31], [23, 18, 30, 19, 26, 22, 28, 52, 50, 58, 37, 32, 42, 44, 34, 36, 38], [40, 41, 39, 45, 43], [46, 47, 54, 51], [49, 48, 55, 57], [53, 59, 60, 56]]
5: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 16, 5], [6, 9, 8, 30, 28, 10, 12], [25, 11, 18, 19, 15, 17, 23], [22, 26, 29, 24, 27, 55], [34, 46, 37, 36, 31, 39, 38, 40], [42, 41, 43], [52, 57, 49, 54], [50, 44, 45, 47, 53, 51, 60, 59, 56, 48, 58]]
6: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 21, 1, 5, 6], [8, 10, 11, 9, 18, 12, 24], [16, 29, 17, 19, 27, 25, 28], [23, 26, 30, 31, 54, 22], [38, 15, 37], [40, 47, 34], [39, 43, 36], [41, 45, 48, 59, 46, 51], [49, 50, 42, 55, 53, 57, 44], [58, 60, 52, 56]]
7: [[14, 35, 2], [20, 32, 33], [7, 5, 4], [13, 1, 3, 21, 6], [8, 11, 9, 15, 12, 17, 22, 10], [23, 31, 16, 18], [24, 19, 26, 25], [28, 29, 30, 27, 34, 46, 38, 37, 47, 39, 43, 45, 36, 40, 41, 44, 50, 42, 58, 51], [48, 49, 52, 53, 55, 56, 54, 57, 59, 60]]
8: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 5, 21], [8, 11, 9, 28, 18, 6], [12, 24, 29, 16, 19, 15, 10], [22, 23, 26, 25, 27, 60], [55, 34, 31, 37, 40, 38, 39, 46, 30, 36, 41, 45], [48, 57, 49, 50, 42, 47, 43, 58], [53, 51, 44, 59, 54, 52, 56]]
9: [[14, 35, 2], [20, 32, 33], [7, 3, 4], [13, 17, 1, 21], [5, 8, 18], [11, 9, 19, 6], [16, 12, 15, 23, 22, 10], [24, 30, 27, 26, 29, 25, 28], [55, 34, 45], [37, 38], [46, 36], [41, 31, 39, 59, 40, 43, 56, 42, 51, 44, 47, 48, 52, 53], [54, 49, 50, 58, 57, 60]]
10: [[14, 35, 2], [20, 32, 33, 7, 3, 4], [13, 1, 5, 21, 6], [8, 9, 11, 19, 17, 16, 15, 18, 10], [23, 31, 30], [24, 25], [27, 26], [29, 28, 38, 22, 12, 34, 37, 39, 40, 44, 43, 46, 36, 47], [41, 49, 56, 42, 51, 45, 53, 48, 52, 55, 54, 57, 50, 58, 59, 60]]
