0: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
1: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
2: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
3: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
4: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
5: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
6: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
7: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
8: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
9: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
10: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
11: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
12: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
13: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
14: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
15: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
16: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
17: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
18: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
19: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
20: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
21: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
22: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
23: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
24: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
25: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
26: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
27: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
28: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
29: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
30: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
31: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
32: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
33: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
34: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
35: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
36: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
37: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
38: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
39: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
40: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
41: [[20, 8, 19], [18, 3, 17, 4], [14, 15], [5, 1, 7, 2], [12, 13, 11, 9], [10, 16, 6]]
