0: [[1, 5, 2, 3], [6, 11, 8], [4, 9, 10], [7, 13, 12]]
1: [[1, 5, 2, 3], [6, 11, 8], [4, 9, 10], [7, 13, 12]]
2: [[1, 5, 2, 3], [6, 11, 8], [4, 9, 10], [7, 13, 12]]
3: [[1, 5, 2, 3], [6, 11, 8], [4, 9, 10], [7, 13, 12]]
4: [[1, 5, 2, 3], [6, 11, 8], [4, 9, 10], [7, 13, 12]]
5: [[2, 1, 3, 5], [6, 11, 8, 4, 9, 10], [7, 13, 12]]
6: [[1, 2], [5, 6, 3], [11, 8], [4, 9, 10], [7, 13, 12]]
7: [[1, 2], [5, 6, 3], [11, 8], [4, 9, 10], [7, 13, 12]]
8: [[2, 1], [3, 5], [6, 11], [8, 4, 9, 10], [7, 13, 12]]
9: [[2, 1], [3, 5], [6, 11], [8, 4, 9, 10], [7, 13, 12]]
10: [[1], [5, 3], [11, 6], [8, 4], [9, 10, 2], [7, 13, 12]]
11: [[1, 5, 2, 3], [6, 11], [8, 4, 9], [10, 7, 13, 12]]
12: [[2, 1], [3, 5], [6, 11, 8], [4, 9, 10, 7, 13, 12]]
13: [[1, 5, 2, 3], [6, 11, 8], [4], [9, 10, 7, 13, 12]]
14: [[1, 2], [5, 6, 11, 3], [8, 4, 9, 10], [7, 13, 12]]
15: [[1], [5, 3], [6, 11], [8, 4, 9, 10, 7, 13, 12, 2]]
16: [[1, 2], [5, 6, 3], [11, 8, 4, 9], [10, 7, 13, 12]]
17: [[2, 1, 3, 5], [6, 11], [8, 4, 9, 10, 7, 13, 12]]
18: [[1, 3, 5, 6, 2], [8, 4, 11], [9, 10], [7, 13, 12]]
19: [[2, 1], [3, 5], [6, 11, 8, 4, 9, 10, 7, 13, 12]]
20: [[1], [5, 3], [11], [8, 4, 9, 6], [10, 7, 13, 2], [12]]
21: [[1], [5, 3], [11, 6], [8, 4], [9, 10, 7, 13, 2], [12]]
22: [[2, 1, 3], [5, 6, 11, 8], [4, 9, 10, 7, 13, 12]]
23: [[2, 1], [3, 5], [6, 11], [8, 4], [9, 10, 7], [13, 12]]
24: [[2, 1], [3, 5, 6, 11, 8, 4, 9, 10, 7, 13], [12]]
25: [[2, 1], [3, 5, 6, 11, 8, 4, 9, 10, 7, 13], [12]]
26: [[2, 1, 3], [5, 6, 11], [8], [4, 9, 10, 7, 13, 12]]
27: [[1], [5, 6, 3], [11, 8, 4], [9, 10, 7, 2], [13, 12]]
