0: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
1: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 16, 17], [14, 18, 28, 23, 10, 24], [15, 27, 20, 26, 21, 29, 25]]
2: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 23, 10, 28], [15, 27, 20, 26, 21, 29, 25]]
3: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 23, 10, 28], [15, 27, 20, 26, 21, 29, 25]]
4: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
5: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
6: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
7: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
8: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
9: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
10: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 18, 24, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
11: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
12: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 16, 12], [24, 18, 28, 23, 10, 14], [15, 27, 20, 26, 21, 29, 25]]
13: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
14: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
15: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
16: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
17: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
18: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
19: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
20: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
21: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
22: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
23: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
24: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 16, 12], [24, 18, 28, 23, 10, 14], [15, 27, 20, 26, 21, 29, 25]]
25: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 12, 17, 16], [14, 24, 18, 28, 10, 23], [15, 27, 20, 26, 21, 29, 25]]
26: [[9, 7, 1, 22, 19, 2, 6, 5], [3, 4, 8, 11, 13, 17, 16, 12], [18, 23, 28, 24, 10, 14], [15, 27, 20, 26, 21, 29, 25]]
