0: [[5, 16, 4, 3], [1, 2, 9], [14, 6, 7, 8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 20], [23, 21, 24]]
1: [[16, 4, 3], [2], [14, 6, 7, 8, 10, 11], [12, 5, 13], [15, 18], [19, 17, 22, 20, 1, 9], [23, 21, 24]]
2: [[5, 16, 4, 3], [1, 2, 9], [14, 6, 7, 8, 10, 11], [12, 13], [15, 18, 19], [17, 22, 20], [23, 21, 24]]
3: [[16, 3], [1, 2, 9], [14, 6], [7, 8], [10, 11], [12, 13], [15, 18, 19, 17], [22, 20, 4, 5], [23, 21, 24]]
4: [[5], [16, 1, 2, 4, 3], [14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 20, 9], [23, 21, 24]]
5: [[5], [16, 1, 2, 4, 3], [14, 6, 7], [8, 10, 11], [12, 13], [15, 18], [19, 17, 22, 20, 9], [23, 21, 24]]
6: [[5, 16, 4, 3], [1, 2, 9], [14, 6, 7, 8, 10, 11, 12], [13, 15], [18, 19], [17, 22, 20], [23, 21, 24]]
7: [[5], [16, 1, 3], [2, 14, 6], [7, 8, 10], [11, 12, 13], [15, 18], [19, 17, 9], [22, 20, 4], [23, 21, 24]]
8: [[5, 16, 4, 3], [1, 2], [14, 6], [7, 8], [10, 11], [12, 13], [15, 18, 19], [17, 22, 20, 9], [23, 21, 24]]
9: [[5, 16, 4, 3], [1, 2], [14, 6], [7, 8], [10, 11], [12, 13], [15, 18, 19], [17, 22, 20, 9], [23, 21, 24]]
10: [[5], [16, 1, 2, 3], [14, 6], [7, 8, 10], [11, 12, 13], [15, 18, 19, 4], [17, 22, 20, 9], [23, 21, 24]]
11: [[5], [16, 1, 3], [2, 14], [6, 7, 8, 9], [10, 11], [12, 13, 15, 18], [19, 17], [22, 20, 4], [23, 21, 24]]
12: [[5, 16, 1, 4, 3], [2, 14, 6], [7, 8], [10, 11], [12, 13], [15, 18], [19, 17, 9], [22, 20], [23, 21, 24]]
13: [[5, 16], [1, 2], [14, 6, 4, 3], [7, 8, 9], [10, 11, 12, 13], [15, 18, 19, 17], [22, 20], [23, 21, 24]]
14: [[5], [16, 1, 3], [2, 14], [6, 7, 9], [8, 10, 11], [12, 13, 15], [18, 19, 17], [22, 20, 4], [23, 21, 24]]
