0: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
1: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
2: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
3: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
4: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
5: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
6: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
7: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
8: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
9: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
10: [[5, 4, 3, 1, 6, 10, 2], [7, 8, 13, 12], [9, 11]]
11: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
12: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
13: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
14: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
15: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
16: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
17: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
18: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
19: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
20: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
21: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
22: [[5, 4, 3, 1, 6, 10], [2, 7, 8, 13, 12], [9, 11]]
23: [[5, 4, 3, 1, 6], [10, 2, 7, 8, 13, 12], [9, 11]]
24: [[5, 4, 3, 1, 6], [10, 2, 7, 8, 13, 12], [9, 11]]
25: [[5, 4, 3, 1, 6, 10, 2, 7], [8, 13, 12], [9, 11]]
26: [[5, 4, 3, 1, 6, 10, 2, 7], [8, 13, 12], [9, 11]]
27: [[5, 4, 3, 1, 6, 10, 2, 7], [8, 13, 12], [9, 11]]
