0: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
1: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
2: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
3: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
4: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
5: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
6: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
7: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
8: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
9: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
10: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
11: [[29, 6, 5, 10], [8, 15, 1, 16], [21, 26], [3, 24, 11, 20, 25, 14], [9, 17, 13], [27], [2, 28, 18], [4, 19, 23, 7, 22, 12]]
