0: [[35, 2, 7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19, 29, 15], [17, 16, 20, 23], [18, 21, 24, 27], [25, 26, 28], [31, 30, 32, 33, 34], [37, 36]]
1: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16, 20, 23], [18, 21, 24, 27], [25, 26, 28], [31, 30, 32, 33], [34, 37, 36]]
2: [[35, 2, 7, 22], [1, 13, 5, 11, 3], [4, 9, 10], [14, 6, 8, 12], [19, 29, 15], [17, 16, 20, 23], [18, 21, 24, 27], [25, 26, 28], [31, 30, 32], [33, 34, 37], [36]]
3: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12], [19, 29, 15], [17, 16, 20], [23, 18, 21], [24, 27], [25, 26, 28], [31, 30, 32, 33], [34, 37, 36]]
4: [[35, 2, 7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19, 29, 15, 17], [16, 20, 23, 18], [21, 24, 27, 25], [26, 28], [31, 30, 32, 33, 34, 37, 36]]
5: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8, 12], [19, 29, 15], [17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28], [31, 30, 32, 33], [34, 37, 36]]
6: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15, 17, 16, 20, 23, 18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33, 34, 37, 36]]
7: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8, 12, 19], [29, 15], [17, 16, 20, 23], [18, 21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [34, 37, 36]]
8: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19, 29], [15, 17, 16, 20], [23, 18, 21, 24], [27, 25, 26, 28], [31, 30, 32], [33, 34, 37], [36]]
9: [[35, 2, 7, 22], [1, 13, 5, 11], [3, 4, 9], [10, 14, 6, 8], [12, 19, 29], [15, 17], [16, 20, 23], [18, 21, 24, 27], [25, 26], [28, 31, 30, 32, 33], [34, 37, 36]]
10: [[35, 2], [7, 22, 1], [13, 5, 11, 3], [4, 9, 10], [14, 6, 8, 12], [19, 29, 15], [17, 16], [20, 23, 18], [21, 24, 27, 25], [26, 28], [31, 30, 32, 33], [34, 37, 36]]
11: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20, 23, 18], [21, 24, 27, 25], [26, 28, 31], [30, 32, 33, 34], [37, 36]]
12: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8], [12, 19], [29, 15, 17], [16, 20, 23], [18, 21, 24], [27, 25, 26, 28], [31, 30, 32, 33], [34, 37, 36]]
13: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4], [9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28], [31, 30, 32], [33, 34, 37], [36]]
14: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8], [12, 19, 29], [15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28], [31, 30], [32, 33], [34, 37, 36]]
15: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6, 8, 12], [19, 29, 15, 17], [16, 20, 23], [18, 21, 24, 27], [25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
16: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4], [9, 10, 14, 6], [8, 12, 19, 29], [15, 17, 16], [20, 23, 18, 21], [24, 27], [25, 26, 28], [31, 30, 32], [33, 34, 37, 36]]
17: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23], [18, 21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [34, 37, 36]]
18: [[35, 2, 7, 22], [1, 13, 5], [11, 3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20, 23, 18], [21, 24, 27, 25], [26, 28, 31], [30, 32, 33, 34], [37], [36]]
19: [[35, 2], [7, 22], [1, 13, 5], [11, 3], [4, 9, 10], [14, 6], [8, 12, 19], [29, 15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28], [31, 30, 32], [33, 34, 37, 36]]
20: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17], [16, 20, 23, 18], [21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [34, 37, 36]]
21: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23], [18, 21], [24, 27], [25, 26, 28], [31, 30, 32, 33], [34, 37, 36]]
22: [[35, 2, 7, 22], [1, 13, 5, 11], [3, 4, 9, 10], [14, 6, 8], [12, 19, 29, 15], [17, 16, 20], [23, 18, 21, 24, 27], [25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
23: [[35, 2, 7], [22, 1, 13], [5, 11], [3, 4, 9], [10, 14], [6, 8], [12, 19], [29, 15], [17, 16, 20], [23, 18], [21, 24, 27, 25], [26, 28, 31], [30, 32, 33], [34, 37, 36]]
24: [[35, 2, 7, 22, 1], [13, 5, 11, 3], [4, 9, 10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20], [23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
25: [[35, 2, 7], [22, 1, 13, 5], [11, 3, 4], [9, 10, 14], [6, 8], [12, 19, 29], [15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [34, 37, 36]]
26: [[35, 2, 7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33], [34, 37, 36]]
27: [[35, 2, 7], [22, 1, 13, 5], [11, 3, 4], [9, 10, 14], [6, 8], [12, 19, 29, 15], [17, 16, 20, 23], [18, 21, 24], [27, 25, 26, 28, 31], [30, 32], [33, 34, 37, 36]]
28: [[35, 2, 7, 22], [1, 13, 5, 11, 3], [4, 9], [10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21], [24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
29: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20, 23, 18], [21, 24, 27], [25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
30: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17], [16, 20], [23, 18, 21], [24, 27, 25], [26, 28], [31, 30, 32, 33], [34, 37, 36]]
31: [[35, 2, 7, 22, 1], [13, 5], [11, 3, 4, 9, 10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
32: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23], [18, 21, 24, 27], [25, 26, 28, 31], [30, 32, 33, 34, 37, 36]]
33: [[35, 2], [7, 22, 1], [13, 5, 11, 3], [4, 9], [10, 14, 6], [8, 12, 19, 29], [15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
34: [[35, 2, 7], [22, 1, 13], [5, 11, 3, 4], [9, 10], [14, 6, 8], [12, 19, 29], [15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28, 31], [30, 32, 33], [34, 37, 36]]
35: [[35, 2, 7, 22, 1], [13, 5, 11, 3], [4, 9, 10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
36: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17], [16, 20, 23], [18, 21, 24], [27, 25, 26], [28, 31, 30, 32], [33, 34, 37, 36]]
37: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17], [16, 20, 23], [18, 21, 24], [27, 25, 26], [28, 31, 30, 32], [33, 34, 37, 36]]
38: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17, 16], [20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
39: [[35, 2, 7], [22, 1, 13], [5, 11], [3, 4, 9], [10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20, 23, 18, 21, 24], [27, 25, 26, 28, 31, 30], [32, 33, 34, 37, 36]]
40: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17], [16, 20, 23], [18, 21, 24], [27, 25, 26], [28, 31, 30], [32, 33], [34, 37, 36]]
41: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12], [19, 29, 15], [17, 16, 20, 23, 18, 21, 24, 27, 25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
42: [[35, 2], [7, 22, 1], [13, 5, 11], [3, 4, 9], [10, 14, 6], [8, 12, 19], [29, 15, 17, 16], [20, 23, 18], [21, 24, 27], [25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
43: [[35, 2, 7, 22, 1], [13, 5, 11, 3, 4, 9, 10, 14, 6, 8, 12, 19, 29, 15, 17, 16], [20, 23, 18, 21, 24, 27, 25, 26], [28, 31, 30, 32], [33, 34], [37, 36]]
44: [[35, 2, 7], [22, 1, 13], [5, 11, 3], [4, 9], [10, 14], [6, 8, 12, 19, 29, 15, 17, 16], [20, 23, 18, 21, 24, 27, 25, 26], [28, 31, 30, 32, 33, 34, 37, 36]]
45: [[35, 2, 7, 22, 1, 13], [5, 11, 3, 4, 9], [10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
46: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6, 8], [12, 19, 29, 15], [17, 16, 20, 23], [18, 21, 24], [27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
47: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16, 20, 23], [18, 21, 24], [27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
48: [[35, 2, 7, 22], [1, 13, 5], [11, 3, 4, 9], [10, 14, 6], [8, 12, 19, 29], [15, 17, 16], [20, 23, 18], [21, 24, 27, 25], [26, 28, 31, 30], [32, 33, 34], [37, 36]]
49: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9], [10, 14], [6, 8, 12, 19, 29], [15, 17, 16, 20], [23, 18, 21], [24, 27, 25, 26], [28, 31, 30], [32, 33, 34, 37, 36]]
50: [[35, 2, 7, 22], [1, 13, 5], [11, 3], [4, 9, 10, 14, 6, 8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
51: [[35, 2, 7], [22, 1], [13, 5], [11, 3], [4, 9, 10, 14], [6, 8, 12], [19, 29, 15, 17], [16, 20, 23, 18], [21, 24, 27], [25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
52: [[35, 2, 7], [22, 1, 13], [5, 11], [3, 4], [9, 10, 14], [6, 8, 12], [19, 29, 15], [17, 16, 20], [23, 18, 21], [24, 27, 25], [26, 28, 31], [30, 32, 33], [34, 37, 36]]
53: [[35, 2, 7], [22, 1], [13, 5, 11], [3, 4, 9, 10], [14, 6], [8, 12, 19, 29, 15, 17, 16, 20, 23, 18, 21, 24, 27, 25, 26, 28, 31, 30, 32, 33, 34, 37, 36]]
