0: [[11, 3, 1], [14, 4], [2, 5, 7, 10, 8], [13, 12, 9], [16, 6, 15], [17, 19, 18, 20]]
1: [[11, 3, 1], [14, 4], [2, 5, 7, 10, 8], [12, 13], [16, 9, 6, 15], [17, 19, 18, 20]]
2: [[11, 3, 1], [14, 4], [2, 5, 7, 10, 8], [12, 13], [16, 9, 6, 15], [17, 19, 18, 20]]
3: [[11, 3, 1], [14, 4, 6], [5, 7, 10], [8, 2], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
4: [[11, 3, 1], [14, 2, 4], [5, 7], [8, 10], [13, 12, 9], [20, 17, 19, 18, 15], [16, 6]]
5: [[11, 3, 1], [14, 2, 4, 6], [5, 7], [10, 8], [12, 13, 9], [16, 17, 15], [19, 18, 20]]
6: [[11, 3, 1], [14, 2, 4, 6], [5, 7], [10, 8], [12, 13, 9], [16, 17, 15], [19, 18, 20]]
7: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 8, 12, 13], [16, 9, 6, 15], [17, 19, 18, 20]]
8: [[11, 3, 1], [14, 4], [2, 5, 7], [8, 12, 13], [10, 16, 9, 6, 15], [17, 19, 18, 20]]
9: [[11, 3, 1], [14, 4, 6], [5, 7, 10], [8, 2], [13, 9], [20, 17, 19, 12], [18, 16, 15]]
10: [[11, 3, 1], [14, 6], [2, 5, 7], [10, 8, 4], [13, 12, 9], [16, 17, 19, 18, 20, 15]]
11: [[11, 3, 1], [14, 2, 5, 4], [7, 10, 8], [13], [12, 9, 15], [20, 17, 19, 18], [16, 6]]
12: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 8, 6], [12, 13, 9], [16, 17, 19, 15], [18, 20]]
13: [[11, 3, 1], [14, 2, 5, 7, 4], [10, 8, 6], [12, 13, 9], [16, 17, 15], [19, 18, 20]]
14: [[11, 3, 1], [14, 6], [2, 5, 7], [10, 4, 8], [12, 9, 13], [15, 16, 17], [19, 18, 20]]
15: [[11, 3, 1], [14, 4], [2, 5], [7, 10], [8, 12, 13], [16, 9, 6, 15], [17, 19, 18, 20]]
16: [[11, 3, 1], [14, 4], [2, 5], [7, 10, 8], [12, 9], [13, 16, 6, 15], [17, 19, 18, 20]]
17: [[11, 3, 1], [14, 2, 4, 6], [5, 7, 10], [8, 13], [12, 16, 17, 9, 15], [19, 18, 20]]
18: [[11, 3, 1], [14, 2, 5, 4], [7, 10, 8], [13, 9, 6], [12, 16, 17, 15], [19, 18, 20]]
19: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 8, 13, 9, 6], [12, 20, 17, 19, 18, 15], [16]]
20: [[11, 3, 1], [14, 2, 4, 6], [5, 7, 10], [12, 8], [13, 9], [16, 17, 15], [19, 18, 20]]
21: [[11, 3, 1], [14, 2, 4, 6], [5, 7], [10, 8], [12], [13, 16, 17, 9, 15], [19, 18, 20]]
22: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 13, 12], [8, 16, 9, 6, 15], [17, 19, 18, 20]]
23: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 8], [12, 9], [13, 16, 6, 15], [17, 19], [18, 20]]
24: [[11, 3, 1], [14, 2, 4], [5, 7, 10], [8, 13, 9, 6], [15, 12, 16, 17, 19, 18, 20]]
25: [[11, 3, 1], [14, 7, 2, 6], [5, 10, 4], [8, 12, 13], [16, 9, 15], [17, 19, 18, 20]]
26: [[11, 3, 1], [14, 4], [2, 5, 6, 10, 8], [12, 7, 9], [13, 16, 17, 19, 18, 20, 15]]
27: [[11, 3, 1], [14, 2, 4, 6], [5, 7, 10], [8, 12], [13, 9], [16, 17, 19, 15], [18, 20]]
28: [[11, 3, 1], [14, 2, 5, 4], [7, 10, 8], [12, 13, 6], [16, 17, 9, 15], [19, 18, 20]]
29: [[11, 3, 1], [14, 4], [2, 5, 7, 6], [8, 10, 13], [12, 15, 16, 17, 19, 18, 20, 9]]
30: [[11, 3, 1], [14, 5, 4, 6], [7, 10, 2, 9], [13, 8, 12, 15, 16, 17, 19, 18, 20]]
31: [[11, 3, 1], [14, 4], [5, 7, 10, 2], [8, 13, 9, 12, 15, 16, 17, 19, 18, 20, 6]]
32: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 8, 12, 13], [16, 17, 19, 9, 6, 15], [18, 20]]
33: [[11, 3], [1, 14], [2, 5, 4], [7, 10, 8, 12], [13, 9], [16, 6, 15], [17, 19, 18, 20]]
34: [[11, 3, 1], [14, 4, 5, 2], [7, 10, 8], [12, 13, 15, 16, 17, 19, 18, 20, 9, 6]]
35: [[11, 3, 1], [14, 2, 4, 6], [5, 7, 10], [8, 12], [13, 15, 16, 17, 19, 18, 20, 9]]
36: [[11, 3, 1], [14, 2, 4], [5, 7], [10, 8, 15], [13, 12, 9, 6], [16, 17, 19, 18, 20]]
37: [[11, 3, 1], [14, 4], [2, 5, 7], [10, 12, 6], [8, 13, 9], [16, 17, 19, 15], [18, 20]]
38: [[11, 3, 1], [14, 2, 4, 6], [5, 7], [8, 12, 10, 13, 15, 16, 17, 19, 18, 20, 9]]
39: [[11, 3, 1], [14, 6], [2, 5, 7, 12], [8, 13, 4], [10, 16, 17, 19, 18, 20, 9, 15]]
40: [[11, 3, 1, 14], [6, 2, 5, 7, 10, 8, 4, 12, 9, 13, 15, 16, 17], [19, 18, 20]]
41: [[11, 3], [1, 14, 4, 2, 5, 7, 10, 8, 12, 15, 9, 13, 6, 16, 17, 19], [18, 20]]
