0: [[2, 10], [9, 20, 1], [14, 4, 6, 5], [15, 8, 13], [7, 11], [12, 18, 16, 17, 22, 19, 3], [23, 21, 24]]
1: [[2, 1], [9, 20], [13, 14, 4, 10], [5, 6], [15, 8], [7, 11], [12, 18, 16, 3], [17, 22, 19], [23, 21, 24]]
2: [[2], [1, 9], [20, 13, 14, 4, 10, 19], [5, 6], [15, 8], [7, 11, 12], [18, 16, 17, 22, 3], [23, 21, 24]]
3: [[2], [1, 9], [20, 13, 14, 10], [4, 5], [6, 15, 8], [7, 11], [12, 18, 19], [16, 17, 22, 3], [23, 21, 24]]
4: [[2], [1, 9], [20, 13, 14, 4, 10, 19], [5, 6, 15, 8], [7, 11], [12, 18, 16, 17, 3], [22, 23, 21, 24]]
5: [[2, 1, 9], [20, 13], [14, 4, 5, 6, 10], [15, 8, 7], [11, 12], [18, 16, 3], [17, 22, 19], [23, 21, 24]]
6: [[2, 1, 9], [20, 13, 14, 4, 10, 19], [5, 6], [15, 8, 7, 11], [12, 18], [16, 17, 22, 3], [23, 21, 24]]
7: [[2], [1, 9], [20, 13], [14, 4, 5, 10, 19], [6, 15, 8], [7, 11], [12, 18], [16, 17, 22, 3], [23, 21, 24]]
8: [[2], [1, 9], [20, 13], [14, 4, 10, 19], [5, 6], [15, 8], [7, 11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
9: [[2], [1, 9, 20, 13], [14, 4, 5, 6, 15], [8, 7, 10, 19], [11, 12], [18, 16, 17, 22, 3], [23, 21, 24]]
10: [[2], [1, 9, 20, 13], [14, 4, 5, 6, 15], [8, 7, 10, 19], [11, 12], [18, 16, 17, 22, 3], [23, 21, 24]]
11: [[10, 19, 2, 3], [1, 9, 20, 13], [14, 4, 5, 6], [15, 8, 7], [11, 12, 18, 16, 17], [22, 23, 21, 24]]
12: [[10, 19, 2, 3], [1, 9, 20, 13], [14, 4, 5, 6], [15, 8, 7], [11, 12, 18, 16, 17], [22, 23, 21, 24]]
13: [[10, 19, 2, 3], [1, 9, 20, 13], [14, 4, 5, 6], [15, 8, 7], [11, 12, 18, 16, 17], [22, 23, 21, 24]]
14: [[2, 1], [9, 20], [13, 14, 4, 10, 19], [5, 6], [15, 8], [7, 11], [12, 18], [16, 17, 3], [22, 23, 21, 24]]
15: [[2], [1, 9], [20, 13, 14, 10], [4, 5], [6, 15], [8, 7, 11], [12, 18, 19], [16, 17, 22, 3], [23, 21, 24]]
16: [[2, 19], [1, 9], [20, 13, 14, 10], [4, 5, 6, 15, 8], [7, 11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
17: [[2], [1, 9, 20], [13, 14, 10], [4, 5], [6, 15], [8, 7, 19], [11, 12], [18, 16, 17, 22, 3], [23, 21, 24]]
18: [[2], [1, 9, 20, 13, 14, 10, 19], [4, 5], [6, 15], [8, 7, 11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
19: [[2], [1, 9], [20, 13, 14, 10], [4, 5, 6, 15], [8, 7, 11, 12, 18], [16, 17, 19, 3], [22, 23, 21, 24]]
20: [[2], [1, 9], [20, 13, 14, 10], [4, 5, 6, 15, 8], [7, 11, 12, 18], [16, 17, 19, 3], [22, 23, 21, 24]]
21: [[2], [1, 9], [20, 13, 14, 4, 10, 19], [5, 6, 15, 8, 7], [11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
22: [[2], [1, 9], [20, 13, 14, 10], [4, 5, 6, 15], [8, 7, 19], [11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
23: [[2], [1, 19], [9, 20, 13], [14, 4, 5, 6, 10, 3], [15, 8, 7, 11, 12, 18, 16, 17], [22, 23, 21, 24]]
24: [[2], [1], [9, 20, 13], [14, 4, 5, 10, 19], [6, 15, 8], [7, 11, 12], [18, 16, 17, 3], [22, 23, 21, 24]]
25: [[2], [1, 9, 20], [13, 14, 10], [4, 5], [6, 15], [8, 7], [11, 12, 18], [16, 17, 22, 19, 3], [23, 21, 24]]
