0: [[23, 28], [7, 16, 17, 9, 18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13], [21, 27, 26], [29, 24, 14]]
1: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13], [21, 27, 26], [29, 24, 14]]
2: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
3: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
4: [[23, 28, 7], [16, 17, 9], [18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
5: [[23, 28, 7], [16, 17, 9], [10, 18, 2], [22, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
6: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
7: [[23, 28, 7], [16, 17, 9], [10, 18], [22, 2, 1, 19], [6, 5, 25], [4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
8: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5], [25, 4, 8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
9: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 11], [3, 12], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
10: [[23, 28], [7, 16], [17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
11: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26], [29, 24, 14]]
12: [[23, 28], [7, 16], [17, 9], [18, 10, 2], [22, 1, 19], [6, 5, 25], [4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
13: [[23, 28], [7, 16], [17, 9], [18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26], [29, 24, 14]]
14: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
15: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
16: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
17: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
18: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
19: [[23, 28, 7], [16, 17], [9, 18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
20: [[23, 28], [7, 16], [17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
21: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21, 27], [26, 29, 24, 14]]
22: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5], [25, 4, 8], [12, 11, 3, 20], [15, 13, 21], [27, 26, 29], [24, 14]]
23: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29, 24, 14]]
24: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29, 24, 14]]
25: [[23, 28, 7], [16, 17, 9], [18, 10, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26, 29, 24, 14]]
26: [[23, 28], [7, 16], [17, 9], [10, 18], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3, 20], [15, 13], [21, 27, 26], [29, 24, 14]]
27: [[23, 28, 7], [16, 17, 9], [18, 10, 22, 2], [1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21, 27, 26, 29, 24, 14]]
28: [[23, 28, 7], [16, 17, 9], [18, 10], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
29: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
30: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
31: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1], [19, 6, 5], [25, 4, 8], [11, 3, 12], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
32: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
33: [[23, 28], [7, 16], [17, 9, 10], [18, 22, 2], [1, 19, 6], [5, 25, 4], [8, 12, 11], [3, 20], [15, 13], [21, 27, 26], [29, 24, 14]]
34: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6, 5], [25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
35: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20, 15, 13, 21, 27, 26], [29, 24, 14]]
36: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20, 15, 13, 21, 27, 26], [29, 24, 14]]
37: [[23, 28, 7], [16, 17, 9], [18, 10, 22, 2], [1, 19, 6], [5, 25], [4, 8, 12], [11, 3, 20], [15, 13, 21, 27, 26, 29, 24, 14]]
38: [[23, 28, 7], [16, 17], [9, 18, 10], [2, 1, 22], [19, 6, 5], [25, 4, 8], [11, 3, 12], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
39: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 11], [3, 12, 20], [15, 13, 21], [27, 26, 29, 24, 14]]
40: [[23, 28, 7], [16, 17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
41: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1], [19, 6], [5, 25, 4, 8], [12, 11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
42: [[23, 28], [7, 16, 17], [9, 18, 10], [2, 1, 22], [19, 6, 5], [25, 4, 8, 12], [11, 3, 20], [15, 13, 21], [27, 26], [29, 24, 14]]
43: [[23, 28], [7, 16, 17], [9, 10, 18], [22, 2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
44: [[23, 28], [7, 16], [17, 9], [10, 18, 22], [2, 1, 19], [6, 5, 25], [4, 8, 12], [11, 3, 20, 15, 13, 21, 27, 26, 29, 24, 14]]
45: [[23, 28, 7], [16, 17], [9, 18, 10], [2, 22, 1], [19, 6], [5, 25, 4], [8, 12], [11, 3], [20, 15, 13], [21, 27, 26], [29, 24, 14]]
