It No., Best MQ, No clusters, max clus, min clus
1,2.0744340248176565,4,6,4
2,1.7871349610480045,3,9,4
3,1.9951899951899952,4,6,4
4,1.9321154678706165,4,7,3
5,1.897285067873303,4,6,3
6,1.9002557544757033,4,6,4
7,1.7745098039215685,3,11,3
8,2.084848484848485,5,5,3
9,1.9934267980787226,4,7,3
10,1.7871349610480045,3,9,4
11,2.107956452395811,6,4,2
12,1.8328108672936259,3,10,4
13,1.9044838889232483,4,7,4
14,1.9947829947829945,5,5,3
15,2.0609209148339582,5,5,3
16,1.8400050458329829,3,8,4
17,1.8986486486486487,4,8,2
18,2.0482025221155657,5,7,2
19,1.7871349610480045,3,9,4
20,2.0105339105339106,5,8,2
21,2.054173448035341,4,7,3
22,1.9777721076037034,4,7,3
23,1.9146853146853147,4,10,3
24,1.7871349610480045,3,9,4
25,2.046903820816864,5,7,2
26,1.969597423510467,5,5,2
27,1.7505827505827505,3,11,4
28,1.8278721278721277,4,7,2
29,1.8299103567645765,4,8,4
30,1.7871349610480045,3,9,4
31,1.9767732267732268,4,7,4
