0: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
1: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
2: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
3: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
4: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
5: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
6: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
7: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
8: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
9: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
10: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
11: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
12: [[12, 22, 3, 9, 4], [5, 2, 1, 6, 29, 10], [11, 8, 13, 15, 14, 19], [16, 27, 17, 20, 23], [18, 24, 21, 25, 28], [26, 31, 30, 32, 33], [7, 34, 35, 36, 37]]
