0: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
1: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
2: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
3: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
4: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
5: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
6: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
7: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
8: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
9: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
10: [[27, 25, 26, 3, 20, 5], [28, 19, 2, 24, 7], [13, 6, 4, 11, 15, 8, 12], [1, 16, 9, 17, 10], [23, 21, 18, 22, 29, 14]]
