0: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 22, 20], [21, 26, 27, 29, 25]]
1: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
2: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 23, 10], [13, 18, 16, 19, 22, 20, 14], [21, 26, 27, 29, 25]]
3: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 23, 10], [13, 18, 16, 19, 20, 22, 14], [21, 26, 27, 29, 25]]
4: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
5: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
6: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
7: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 18, 16, 19, 20, 22], [21, 26, 27, 29, 25]]
8: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 18, 20], [21, 26, 27, 29, 25]]
9: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
10: [[2, 1, 17, 9, 5, 6], [15, 8, 3, 4, 11, 12], [7, 24, 28, 10, 23], [13, 14, 22, 16, 19, 20, 18], [21, 26, 27, 29, 25]]
