0: [[5, 3, 1], [2, 4, 6, 11, 8, 9], [13, 7, 12], [10]]
1: [[5, 3, 1], [2, 4, 6, 11, 8], [9, 13, 7, 12], [10]]
2: [[5, 3, 1], [2, 4, 6, 11, 8], [9, 13, 7, 12], [10]]
3: [[5, 3, 1], [2, 4, 6, 11, 8, 9, 13], [7, 12, 10]]
4: [[5, 3], [1, 2], [4, 6, 11, 8, 9], [13, 7], [12, 10]]
5: [[5, 3, 1, 2], [4, 6], [11, 8, 9], [13, 7, 12, 10]]
6: [[5, 3, 1], [2, 4], [6, 11, 8], [9], [13, 7, 12, 10]]
7: [[5, 3, 1, 2, 4], [6, 11, 8, 9, 13], [7, 12, 10]]
8: [[5, 3], [1], [2, 4], [6, 11, 8], [9], [13, 7, 12], [10]]
9: [[5, 3], [1], [2, 4, 6, 11, 8, 9, 13, 7, 12, 10]]
10: [[5, 3, 1, 2], [4, 6], [11, 8, 9], [13, 7], [12, 10]]
11: [[5, 3], [1, 2], [4, 6], [11, 8], [9, 13, 7, 12, 10]]
12: [[5, 3], [1], [2, 4, 6, 11, 8], [9], [13, 7, 12, 10]]
13: [[5], [3, 1], [2, 4, 6, 11, 8, 9, 13], [7, 12, 10]]
14: [[5, 3, 1, 2, 4], [6, 11], [8, 9, 13, 7, 12, 10]]
15: [[5, 3, 1, 2, 4], [6, 11], [8, 9, 13, 7, 12, 10]]
16: [[5, 3], [1, 2], [4], [6, 11, 8, 9], [13], [7, 12, 10]]
17: [[5, 3], [1, 2, 4], [6, 11], [8, 9], [13, 7, 12, 10]]
18: [[5, 3, 1], [2], [4, 6], [11, 8], [9, 13, 7], [12, 10]]
19: [[5, 3, 1], [2, 4, 6, 11], [8, 9], [13, 7, 12, 10]]
20: [[5, 3, 1, 2], [4, 6], [11, 8], [9, 13], [7, 12, 10]]
21: [[5, 3], [1, 2], [4, 6, 11], [8, 9], [13, 7, 12], [10]]
22: [[5, 3], [1, 2], [4, 6], [11, 8], [9, 13], [7, 12], [10]]
23: [[5, 3, 1], [2, 4], [6, 11], [8, 9, 13, 7], [12, 10]]
24: [[5, 3, 1, 2], [4, 6, 11], [8], [9, 13, 7], [12, 10]]
25: [[5, 3], [1, 2, 4], [6], [11, 8, 9, 13], [7, 12, 10]]
26: [[5], [3, 1, 2, 4, 6, 11, 8, 9, 13, 7, 12], [10]]
27: [[5, 3], [1, 2, 4, 6, 11], [8, 9], [13, 7], [12, 10]]
