0: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
1: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
2: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
3: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
4: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
5: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
6: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
7: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
8: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
9: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
10: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
11: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
12: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
13: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
14: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
15: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
16: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
17: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
18: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
19: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
20: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
21: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
22: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
23: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
24: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
25: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
26: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
27: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
28: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
29: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
30: [[11, 1, 7, 2], [5, 3, 4, 6, 9, 12, 13], [10, 14], [8, 15, 16, 18], [17, 19, 22, 20], [21, 23, 24]]
