0: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [28, 13, 21, 6], [15, 29, 16, 17, 18, 10], [22, 23, 31], [25, 24, 27], [58, 50, 30, 56, 46, 33, 32, 43, 36], [54, 34, 12, 44, 41, 38, 55, 39, 47, 42, 37, 45, 40, 52, 48, 51], [57, 49, 59, 53, 60]]
1: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [28, 13, 21, 6], [15, 29, 16, 17, 18, 10], [22, 23, 31], [25, 24, 27], [58, 50, 30, 56, 46, 33, 32, 43, 36], [54, 34, 12, 44, 41, 38, 55, 39, 47, 42, 37, 45, 40, 52, 48, 51], [57, 49, 59, 53, 60]]
2: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [28, 13, 21, 6], [15, 29, 16, 17, 18, 10], [22, 23, 31], [25, 24, 27], [58, 50, 30, 56, 46, 33, 32, 43, 36], [54, 34, 12, 44, 41, 38, 55, 39, 47, 42, 37, 45, 40, 52, 48, 51], [57, 49, 59, 53, 60]]
3: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 15, 18, 6, 10, 13, 30, 16, 11, 23, 12, 17, 22, 21, 25, 24, 31, 28, 37, 56, 40, 36, 29, 50, 32, 46, 33, 34, 38, 41, 47, 39, 42, 43, 44, 59], [60, 52, 45, 48, 51, 54, 53, 49, 55, 27, 58, 57]]
4: [[19, 20], [35, 2, 5, 1, 7, 9, 3, 4, 8, 30, 14], [11, 15, 12, 16, 31, 25, 13, 10, 21, 6], [27, 28, 17, 22, 23, 18], [24, 26], [29, 54, 40, 36, 32, 33, 34, 45, 37, 42], [41, 38, 43, 44, 39, 46, 47, 57], [52, 49, 50, 55, 48, 51, 56, 60, 59, 58, 53]]
5: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 30, 14, 6, 10, 15, 11, 12], [18, 13, 16], [21, 29, 17, 22, 26, 24, 28, 27], [23, 56], [25, 31, 40, 34, 33], [42, 36, 53, 37, 41, 32, 45], [38, 43, 44, 39], [46, 47, 48, 54, 51, 49, 50, 52, 55, 58, 59, 57, 60]]
6: [[19, 20], [35, 2, 5, 1, 7], [9, 3, 4, 8, 26, 14, 11], [15, 13, 21, 6], [10, 12, 29, 16, 18, 17], [28, 27], [22, 23, 24, 25, 56, 50, 31], [30, 36, 59, 40, 33], [44, 32, 38, 47], [37, 43], [34, 55], [39, 45, 46, 49, 51, 41, 48, 42, 52, 53, 54, 57], [58, 60]]
7: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 30], [14, 10, 6, 12, 13, 11, 17, 16, 21, 22, 18, 25, 23, 28, 24, 27, 26, 57, 58, 29, 56, 44, 36, 33, 31, 45, 38, 41, 34, 39, 15, 47, 32, 40, 42, 53, 43, 37, 50, 59, 49, 46, 48, 51, 54, 52, 55, 60]]
8: [[19, 20, 35], [2, 5, 1, 7, 9, 3], [4, 12, 30, 6, 8, 13, 15, 10], [14, 21], [24, 17, 11], [22, 31, 18, 16, 23, 28], [26, 25], [58, 27, 52, 29, 45], [33, 34, 44, 37, 32, 59], [36, 39, 40], [38, 41, 46], [42, 48, 43], [49, 57], [47, 54, 55, 50, 56, 51], [53, 60]]
9: [[19, 20], [35, 2], [5, 1], [7, 9, 3, 4, 8, 30, 14, 15, 17, 11, 12, 6, 10], [13, 24, 22, 23, 16, 18, 25, 27, 26, 28, 29, 56, 21, 51, 32, 53, 54, 31, 44, 33], [41, 37], [38, 36, 34, 40, 47, 43, 39, 45], [42, 46, 48, 49, 52, 50, 60, 57, 55, 59, 58]]
10: [[19, 20], [35, 2, 5, 1, 7, 9], [3, 4, 8, 26, 14, 11, 6, 15, 10, 12, 13, 17, 29, 31, 18, 23, 16, 21, 24, 22, 27, 36], [25, 59, 32, 28, 44, 33, 39, 30, 34, 41, 43, 37, 40, 45, 38, 42], [46, 47, 48, 55, 51, 49, 52, 53, 50, 56, 58, 54, 60, 57]]
