0: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
1: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
2: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
3: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
4: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
5: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
6: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
7: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
8: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
9: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
10: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
11: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
12: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
13: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
14: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
15: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
16: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
17: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
18: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
19: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
20: [[9, 10, 19, 1, 2, 14], [6, 5, 3, 4, 13], [7, 11], [8, 12, 15, 16, 17, 22, 18, 20], [23, 21, 24]]
