0: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
1: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
2: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
3: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
4: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
5: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
6: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
7: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
8: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
9: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
10: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
11: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
12: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
13: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
14: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
15: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
16: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
17: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
18: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
19: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
20: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
21: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
22: [[14, 6, 4], [2, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
23: [[14, 6, 4], [2, 7, 5, 8, 10], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
24: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
25: [[14, 2, 7, 6, 4], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
26: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
27: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
28: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
29: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
30: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
31: [[14, 6, 4, 2, 7], [5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
32: [[14, 2, 6, 4], [7, 5, 10], [8, 11, 3], [1, 13, 16, 12, 9], [20, 18, 19, 17, 15]]
33: [[14, 6, 4], [2, 7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
34: [[14, 2, 6], [7, 5, 10, 8, 4], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
35: [[14, 2, 6], [4, 7, 5, 10, 8], [11, 3, 1], [13, 16, 12, 9], [20, 18, 19, 17, 15]]
36: [[14, 2, 6, 4], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
37: [[14, 6, 4, 2], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
38: [[14, 6, 4, 2], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
39: [[14, 6, 4, 2], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
40: [[14, 6, 4, 2], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
41: [[14, 2, 6, 4], [7, 5, 10], [8, 11, 3, 1, 13], [16, 12, 9], [20, 18, 19, 17, 15]]
