0: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [36, 37]]
1: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [36, 37]]
2: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [36, 37]]
3: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35, 33, 34], [36, 37]]
4: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9], [10, 15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
5: [[18, 29, 7], [3, 2, 11, 5], [1, 12, 6], [4, 8, 14, 9], [10, 15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
6: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10, 15], [13, 19, 20], [17, 22], [16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32], [35], [33, 34, 36, 37]]
7: [[18, 29, 7], [3, 2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10], [15, 13, 19, 20], [17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31], [30, 32], [35, 33], [34, 36, 37]]
8: [[18, 29, 7], [3, 2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
9: [[18, 29, 7], [3, 2, 11, 5, 1], [12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31], [30, 32, 35], [33, 34, 36, 37]]
10: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6], [4, 8, 14], [9, 10, 15, 13, 19], [20, 17, 22, 16], [24, 21, 27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
11: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4, 8], [14, 9, 10], [15, 13, 19, 20], [17, 22, 16], [24, 21, 27, 23], [25, 26, 28, 31], [30, 32, 35, 33], [34, 36, 37]]
12: [[18, 29, 7, 3], [2, 11, 5, 1], [12, 6, 4, 8], [14, 9, 10], [15, 13, 19, 20], [17, 22, 16, 24], [21, 27], [23], [25, 26, 28, 31], [30, 32, 35, 33, 34, 36, 37]]
13: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31, 30, 32, 35, 33], [34, 36, 37]]
14: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17], [22, 16, 24], [21, 27, 23, 25, 26, 28], [31, 30, 32, 35, 33, 34, 36, 37]]
15: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14, 9], [10, 15, 13, 19], [20, 17, 22], [16, 24], [21, 27, 23], [25, 26, 28], [31, 30], [32, 35], [33, 34, 36, 37]]
16: [[18, 29, 7], [3, 2, 11], [5, 1, 12, 6], [4, 8, 14], [9, 10, 15, 13], [19, 20, 17], [22, 16, 24], [21, 27, 23], [25, 26, 28], [31, 30, 32, 35], [33, 34, 36, 37]]
17: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6], [4, 8, 14, 9, 10], [15, 13, 19, 20], [17, 22, 16, 24], [21, 27, 23], [25, 26, 28, 31], [30], [32, 35, 33, 34], [36, 37]]
18: [[18, 29, 7, 3], [2, 11, 5], [1, 12, 6, 4], [8, 14, 9, 10], [15, 13, 19], [20, 17, 22, 16], [24, 21, 27, 23, 25, 26, 28], [31, 30], [32, 35, 33], [34, 36, 37]]
