0: [[11, 6, 9], [7, 8, 12], [4, 10, 1], [13, 2], [3, 5]]
1: [[11, 6, 9], [7, 8, 12], [1, 4, 10], [13, 2], [3, 5]]
2: [[11, 9, 6], [8, 7], [12, 1, 4, 10, 13, 2], [3, 5]]
3: [[11, 6, 9], [7, 8, 12, 1], [4, 10], [13, 2], [3, 5]]
4: [[11, 9, 6], [8, 12, 1, 7], [4, 10], [13, 2], [3, 5]]
5: [[11, 6, 9], [7, 8], [12, 1, 4, 10], [13, 2], [3, 5]]
6: [[11, 6, 9], [7, 8], [12, 1, 4, 10], [13, 2], [3, 5]]
7: [[11, 6, 9], [7, 8], [12, 1, 4, 10, 13, 2, 3, 5]]
8: [[11, 6], [9, 7, 8], [12, 1, 4, 10, 13, 2], [3, 5]]
9: [[7, 11, 6, 9], [8, 12], [1, 4, 10], [13, 2], [3, 5]]
10: [[11, 6, 9, 7, 8], [12, 1], [10, 4], [13, 3, 5, 2]]
11: [[11, 6, 9, 7, 8], [12, 1], [10, 4], [13, 3, 5, 2]]
12: [[11, 6, 9, 7, 8], [12, 1], [10, 4], [13, 3, 5, 2]]
13: [[9, 7, 11, 6], [8, 12], [1, 4, 10, 13, 2], [3, 5]]
14: [[11, 9, 6], [8, 7], [12, 1], [4, 10, 13, 2], [3, 5]]
15: [[11, 6], [9, 7, 8, 12, 1, 4, 10, 13, 2], [3, 5]]
16: [[7, 11, 6, 9], [8, 12], [1, 4], [10, 13, 2], [3, 5]]
17: [[11, 6, 9], [8], [12, 1], [4, 10], [13, 2, 7], [3, 5]]
18: [[9, 7, 11, 6], [8, 12], [1, 4, 10], [13, 2, 3, 5]]
19: [[11, 6, 9], [7, 8], [12, 1], [4, 10], [13, 2, 3, 5]]
20: [[9, 7, 11, 6], [8, 12], [1, 4, 10, 13, 2, 3, 5]]
21: [[9, 7, 11, 6], [8, 12], [1, 4, 10, 13, 2, 3, 5]]
22: [[9, 7, 11, 6], [8, 12], [1, 4], [10, 13, 2, 3, 5]]
23: [[9, 7, 11, 6], [8, 12], [1, 4, 10, 13], [2, 3, 5]]
24: [[11, 6, 9], [7, 8], [12, 1, 4], [10, 13], [2, 3, 5]]
25: [[7, 11, 9], [8, 12, 6], [1, 4], [10, 13], [2, 3, 5]]
26: [[11, 6], [9, 7, 8, 12], [1, 4], [10, 13], [2, 3, 5]]
27: [[11, 6], [9, 7, 8, 12], [1, 4], [10, 13], [2, 3, 5]]
