0: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
1: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
2: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
3: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
4: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
5: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
6: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
7: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
8: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
9: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
10: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
11: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
12: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
13: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
14: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
15: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
16: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
17: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
18: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
19: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
20: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
21: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
22: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
23: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
24: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
25: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
26: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
27: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
28: [[20, 19, 17, 22, 18, 15, 9, 8, 1], [2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
29: [[20, 19, 17, 22, 18, 15, 9, 8, 1], [2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
30: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14, 4], [16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
31: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14, 4], [16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
32: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14], [4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
33: [[20, 19, 17, 22, 18, 15, 9], [8, 1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
34: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14, 4, 16], [3, 11, 10, 13, 6, 12, 7], [21, 24, 23]]
35: [[20, 19, 17, 22, 18, 15, 9, 8], [1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
36: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
37: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
38: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
39: [[20, 19, 17, 22, 18, 15, 9, 8, 1], [2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
40: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14, 4], [16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
41: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14], [4, 16, 3, 11, 10, 13, 6, 12, 7, 21], [24, 23]]
42: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
43: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
44: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2], [5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
45: [[20, 19, 17, 22, 18, 15, 9, 8, 1], [2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
46: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5], [14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
47: [[20, 19, 17, 22, 18, 15, 9, 8, 1, 2, 5, 14, 4], [16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
48: [[20, 19, 17, 22, 18, 15, 9], [8, 1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
49: [[20, 19, 17, 22, 18, 15, 9], [8, 1, 2, 5, 14, 4, 16, 3, 11, 10, 13, 6, 12], [7, 21, 24, 23]]
