0: [[2, 5, 4, 1], [10, 7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20, 3], [21, 23, 24]]
1: [[3, 2, 10, 1, 4], [7, 14, 11], [6, 9, 8, 15, 5, 13], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
2: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
3: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
4: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
5: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
6: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
7: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
8: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
9: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
10: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
11: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
12: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
13: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
14: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
15: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
16: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
17: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
18: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
19: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
20: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
21: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
22: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
23: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
24: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
25: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
26: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
27: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
28: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
29: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
30: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
31: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
32: [[3, 1, 2, 5, 4, 10], [7, 14, 11], [6, 9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20], [21, 23, 24]]
33: [[2, 5, 4, 10, 1], [7, 14, 11, 6], [9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20, 3], [21, 23, 24]]
34: [[2, 5, 4, 10, 1], [7, 14, 11, 6], [9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20, 3], [21, 23, 24]]
35: [[2, 5, 4, 10, 1], [7, 14, 11, 6], [9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20, 3], [21, 23, 24]]
36: [[2, 5, 4, 3], [10, 7, 14], [11, 6, 9, 8, 13, 1], [15, 12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
37: [[3, 1, 2, 5, 4, 10], [7, 14], [11, 6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20], [21, 23, 24]]
38: [[2, 5, 4, 10, 7, 1], [14, 11, 6], [9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20, 3], [21, 23, 24]]
39: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20, 21], [23, 24]]
40: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20, 21], [23, 24]]
41: [[2, 5, 4, 10, 7], [14, 11, 6], [9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20, 3, 1], [21, 23, 24]]
42: [[2, 5, 4, 10, 7], [14, 11, 6], [9, 8, 13, 15, 12], [16, 17, 18, 19, 22, 20, 3, 1], [21, 23, 24]]
43: [[2, 5, 4], [10, 7], [14, 11, 6, 9, 8], [13, 15, 12, 16, 17, 18, 19, 22, 20, 3, 1], [21, 23, 24]]
44: [[3, 1, 2, 5, 4, 10], [7, 14], [11, 6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22, 20, 21], [23, 24]]
45: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22], [20, 21, 23, 24]]
46: [[3, 2, 5, 10, 1, 4], [7, 14, 11], [6, 9, 8, 13, 15], [12, 16, 17, 18, 19, 22], [20, 21, 23, 24]]
47: [[2, 5, 4, 1], [10, 7, 14], [11, 6, 9, 8, 13], [15, 12, 16, 17, 18, 19, 22, 3], [20, 21, 23, 24]]
48: [[2, 5, 4, 1], [10, 7, 14], [11, 6, 9, 8, 13], [15, 12, 16, 17, 18, 19, 22, 3], [20, 21, 23, 24]]
49: [[2, 5, 4, 1], [10, 7, 14], [11, 6, 9, 8, 13], [15, 12, 16, 17, 18, 19, 22, 3], [20, 21, 23, 24]]
