0: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
1: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
2: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
3: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
4: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
5: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
6: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
7: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
8: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
9: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
10: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
11: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
12: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
13: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
14: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
15: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
16: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
17: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
18: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
19: [[3, 29, 1, 8], [37, 6, 2, 4], [13, 7, 15, 19], [10, 11, 9, 14], [12, 22, 24, 18], [5, 20, 16, 23], [27, 25, 28, 21, 26], [30, 31, 34, 17], [33, 32, 35, 36]]
