0: [[5, 3], [1, 10, 4, 2], [6, 8, 11, 9], [7, 12, 13]]
1: [[5, 3], [1, 10, 4, 2], [6, 8, 11, 9], [7, 12, 13]]
2: [[5, 3], [1, 10, 4, 2], [6, 8, 11, 9], [7, 12, 13]]
3: [[5, 3], [1, 10, 4, 2], [6, 8, 11, 9], [7, 12, 13]]
4: [[5, 3], [1, 10, 4], [6, 8, 11, 9, 2], [7, 12, 13]]
5: [[5, 3], [1, 10, 4], [6, 8, 11, 9, 2], [7, 12, 13]]
6: [[5, 3], [1, 10, 4], [6, 8, 11, 9, 2], [7, 12, 13]]
7: [[3, 5], [1, 10, 4, 2], [6, 8, 11], [9, 7, 12, 13]]
8: [[3, 5], [1, 10, 4, 2], [6, 8, 11], [9, 7, 12, 13]]
9: [[5, 1, 3], [10, 4], [2, 6, 8, 11], [9, 7, 12, 13]]
10: [[5, 3], [1, 10, 4], [2, 6, 8, 11], [9, 7, 12, 13]]
11: [[5, 3], [1, 10, 4], [2, 6, 8, 11], [9, 7, 12, 13]]
12: [[3, 5, 1, 10, 4, 2], [6, 8], [11, 9], [7, 12, 13]]
13: [[3, 5, 1, 10, 4, 2], [6, 8], [11, 9], [7, 12, 13]]
14: [[3, 5, 1, 10, 4], [6, 2, 8], [11, 9], [7, 12, 13]]
15: [[5, 1, 3], [10, 4], [2, 6, 8], [11, 9, 7, 12, 13]]
16: [[3, 5], [1, 10, 4], [2, 6, 8], [11, 9, 7, 12, 13]]
17: [[3, 5, 1], [10, 6, 4, 2], [8, 11], [9, 7, 12, 13]]
18: [[3, 5, 1], [10, 6, 4, 2], [8, 11], [9, 7, 12, 13]]
19: [[5, 1, 3], [10, 2, 4], [6, 8], [11, 9, 7, 12, 13]]
20: [[5, 1, 10, 3], [4, 2], [6, 8, 11, 9], [7, 12, 13]]
21: [[5, 1, 10, 3], [4, 2], [6, 8, 11, 9], [7, 12, 13]]
22: [[5, 1, 10, 3], [4, 2], [6, 8, 11, 9], [7, 12, 13]]
23: [[5, 1, 10, 3, 4], [2], [6, 8, 11], [9, 7, 12, 13]]
24: [[3, 5, 1, 10, 4], [6, 2], [8, 11, 9], [12, 13, 7]]
25: [[3, 5, 1], [10, 4], [6, 8, 11, 9, 7, 2], [12, 13]]
26: [[5], [1, 10, 4], [2, 6, 8, 3], [11, 9, 7, 12, 13]]
27: [[5], [1, 10, 4], [2, 6, 8, 3], [11, 9, 7, 12, 13]]
