0: [[9, 6, 4], [1, 5, 3], [10, 2], [8, 11], [12, 13, 7]]
1: [[9, 6, 4], [1, 5, 3], [10, 8, 11, 2], [12, 13, 7]]
2: [[9, 6, 4], [1, 5, 3], [10, 8, 11, 2], [12, 13, 7]]
3: [[9, 6, 4], [1, 5, 3], [10, 8, 11, 2], [12, 13, 7]]
4: [[9, 6, 4], [1, 5, 3], [10, 8, 11, 2], [12, 13, 7]]
5: [[9, 6, 4], [1, 5, 3], [10, 8, 11, 2], [12, 13, 7]]
6: [[9, 6, 4], [1, 5, 10, 2, 3], [8, 11], [12, 13, 7]]
7: [[9, 6, 4], [1, 5, 10, 2, 3], [8, 11], [12, 13, 7]]
8: [[9, 6], [1, 5, 3], [10, 8, 4], [11, 12, 13, 2, 7]]
9: [[9, 6, 4], [1, 5, 3], [10, 2, 8, 11, 12, 13, 7]]
10: [[9, 6], [4, 1, 3], [5, 10, 11, 8, 2], [12, 13, 7]]
11: [[9, 6, 4], [1, 5, 3], [10, 2, 8], [11, 12, 13, 7]]
12: [[9, 6, 4], [1, 5, 3], [10, 2, 8], [11, 12, 13, 7]]
13: [[9, 6, 4], [1, 5, 3], [10, 2], [8, 11, 12, 7], [13]]
14: [[9, 6], [4, 1, 5, 3], [10, 2, 8, 11, 12, 13, 7]]
15: [[9, 6, 4], [1, 5, 3, 10], [2, 8, 11, 12, 13, 7]]
16: [[9, 6, 4], [1, 5, 3, 10], [2, 8, 11, 12, 13, 7]]
17: [[9, 6, 4], [1, 5, 3, 10], [2, 8, 11, 12, 13, 7]]
18: [[9, 6, 4], [1, 5, 3, 10], [2, 8, 11, 12, 13, 7]]
19: [[9, 6], [4, 1], [5, 3, 10], [2, 8, 11], [12, 13, 7]]
20: [[9, 6, 4, 1], [5, 3, 10], [2, 8, 11], [12, 13, 7]]
21: [[9, 6, 4, 1], [5, 3, 10], [2, 8, 11], [12, 13, 7]]
22: [[9, 6], [4, 1], [5, 3, 10], [2, 8, 11, 12, 13, 7]]
23: [[9, 6, 4, 1, 3], [5, 10], [8, 11], [12, 13, 7, 2]]
24: [[9, 6], [1, 5], [3, 10, 4], [8, 11], [12, 13, 2, 7]]
25: [[9, 6], [1, 4], [5, 3, 10], [2, 8], [11, 12, 13, 7]]
26: [[9, 6], [1, 5], [3, 10, 2, 4], [8, 11, 12, 7], [13]]
27: [[9, 6, 4], [1, 5], [3, 10, 2, 8, 11, 12, 13, 7]]
