0: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
1: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
2: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
3: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
4: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
5: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
6: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
7: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
8: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
9: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
10: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
11: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
12: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
13: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
14: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
15: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
16: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
17: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
18: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
19: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
20: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
21: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
22: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
23: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
24: [[31, 21, 25, 28, 8, 14], [37, 5, 34, 3, 15, 19, 6], [12, 33, 20, 1, 35, 2], [4, 9, 36, 7, 16, 17], [11, 10, 18, 22, 24, 29], [13, 26, 23, 32, 30, 27]]
