0: [[8, 1, 11, 3], [5, 7, 10, 2, 9], [4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
1: [[8, 1, 11, 3], [5, 7, 10, 2, 9], [4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
2: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
3: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
4: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
5: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
6: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
7: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
8: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
9: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
10: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
11: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
12: [[8, 1, 11, 3], [5, 7, 10, 2], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
13: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
14: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
15: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
16: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
17: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
18: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
19: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
20: [[8, 1, 11, 3], [5, 7, 2, 10], [4, 12, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
21: [[8, 1, 11, 3], [5, 7, 10, 2], [4, 12, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
22: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
23: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
24: [[8, 1, 11, 3], [5, 7, 2, 10], [4, 12, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
25: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
26: [[8, 1, 11, 3], [5, 7, 2, 10], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
27: [[8, 1, 11, 3], [5, 7, 10, 2], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
28: [[8, 1, 11, 3], [5, 7, 2, 10], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
29: [[8, 1, 11, 3], [5, 7, 10, 2], [9, 4, 13, 12], [6, 14, 15, 16], [17, 18, 19, 20]]
30: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
31: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
32: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
33: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
34: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
35: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
36: [[8, 1, 11, 3], [5, 7, 10, 2], [12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
37: [[8, 1, 11, 3], [5, 7, 10], [2, 12, 4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
38: [[8, 1, 11, 3, 5], [7, 2, 10, 4], [12, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
39: [[8, 1, 11, 3, 5], [7, 10, 2, 12], [4, 13, 9], [6, 14, 15, 16], [17, 18, 19, 20]]
