0: [[11, 3, 8], [1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 15, 4, 6], [17, 18, 19, 20]]
1: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 15, 4, 6], [17, 18, 19, 20]]
2: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [17, 15, 18, 19, 20]]
3: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [17, 15, 18, 19, 20]]
4: [[11, 3, 8], [1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [15, 17, 18, 19, 20, 4]]
5: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [17, 15, 18, 19, 20, 4]]
6: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 15, 17], [18, 19, 20]]
7: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 17, 15], [18, 19, 20]]
8: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 17, 15], [18, 19, 20]]
9: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 17, 15], [18, 19, 20]]
10: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 15, 17], [18, 19, 20]]
11: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 15, 17], [18, 19, 20]]
12: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 6], [4, 15, 17], [18, 19, 20]]
13: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 15, 17, 4, 6], [18, 19, 20]]
14: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [17, 15], [18, 19, 20]]
15: [[11, 3, 8], [1, 2, 5], [7, 10], [13, 12, 9], [14, 16, 6], [17, 18, 19, 20, 4, 15]]
16: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12], [14, 16, 9, 6], [17, 18, 19, 20, 4, 15]]
17: [[11, 3, 8], [1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [17, 18, 15], [19, 20]]
18: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [19, 15], [18, 17, 20]]
19: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 9], [14, 16, 17, 4, 6], [15, 18, 19, 20]]
20: [[11, 3, 8], [1, 2, 5], [7, 10], [13, 12, 9], [14, 16, 6], [17, 18, 4, 15], [19, 20]]
21: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 14, 16, 9, 4, 6], [15, 17, 18, 19, 20]]
22: [[11, 3, 8], [1, 5, 2], [7, 10], [13, 12, 15], [16, 14, 9, 4, 6], [17, 18, 19, 20]]
23: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 14, 9], [16, 4, 6], [17, 18, 19, 15], [20]]
24: [[11, 3], [8, 1, 2], [5, 7, 10, 13, 12, 9], [14, 16, 17, 15, 18, 19, 20, 4, 6]]
25: [[11, 3, 8], [1, 2, 5], [7, 10, 13], [12, 9], [14, 16, 6], [17, 4, 15], [18, 19, 20]]
26: [[11, 3], [8, 1, 2], [5, 7, 10, 13, 12, 14, 16, 9, 6], [15, 17, 18, 19, 20, 4]]
27: [[11, 3, 8, 1], [2, 5, 7, 10, 13, 12, 9, 14, 16, 6, 4, 15], [19, 18, 17, 20]]
28: [[11, 3, 8], [1, 2, 5, 7, 10, 13], [12, 14, 9], [16, 4, 6], [15, 17, 18, 19, 20]]
29: [[11, 3], [8, 1, 2], [5, 7, 10], [13, 12, 14, 16, 6, 4, 15, 17, 9], [18, 19], [20]]
30: [[11, 3, 8], [1, 2, 5], [7, 10, 13], [12, 14, 16, 15, 17, 9, 4, 6], [18, 19, 20]]
31: [[11, 3], [8, 1, 2], [5, 7], [10, 13, 12, 14, 9], [16, 20, 15, 6], [18, 19, 17, 4]]
32: [[11, 3, 8], [1, 2, 5], [7, 10, 13], [12, 9, 14], [16, 6], [4, 17, 15], [18, 19, 20]]
33: [[11, 3], [8, 1, 2], [5, 7], [10, 13, 12, 14, 16, 9, 6], [20, 15, 18, 19, 4], [17]]
34: [[11, 3, 8], [1, 2, 5, 7], [10, 13, 12], [14, 16, 9, 6, 15], [17, 18, 19, 4], [20]]
35: [[11, 3, 8], [1, 2, 5], [7, 10, 13], [12, 14, 9, 15], [16, 4, 6], [19, 18], [17, 20]]
36: [[11, 3, 8], [1, 2, 5], [7, 10, 13], [12, 9, 14], [16, 6, 15], [4, 19], [18, 17, 20]]
37: [[11, 3], [8, 1, 2, 5, 7, 10, 13, 12], [9, 14, 16, 6, 4, 15, 17, 18, 19, 20]]
38: [[11, 3, 8], [1, 2, 4], [7, 10, 13], [12, 15, 5, 16, 14, 6], [17, 18, 19, 20, 9]]
39: [[11, 3, 8], [1, 2, 5], [7, 10, 13, 12, 9, 14, 16, 4, 6, 15, 17, 18, 19, 20]]
40: [[11, 3], [8, 1], [2, 5, 7], [10, 13, 12], [14, 9], [16, 4, 6], [17, 18, 15], [19, 20]]
41: [[11, 3], [8, 1, 2, 5], [7, 10, 13, 12, 9, 14, 16, 6, 4, 17, 15, 18, 19, 20]]
