0: [[11, 36, 20, 3, 4, 12, 1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19], [24, 17, 18], [28, 25, 26], [13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
1: [[11, 36, 20, 3, 4, 12, 1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19], [24, 17, 18], [28, 25, 26], [13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
2: [[11, 36, 20, 3, 4, 12, 1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19, 24, 17, 18], [28, 25, 26], [13, 16, 23, 27, 31, 32, 30, 34, 33, 35]]
3: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7], [22, 37, 9, 8], [10, 14, 29], [15, 21], [19, 24, 17, 18], [28, 25, 26], [13, 16, 23, 27], [31, 32, 30, 34], [33, 35]]
4: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14], [29, 15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33], [35]]
5: [[11, 36], [20, 3, 4, 12], [1, 2, 5, 6], [7, 22, 37, 9], [8, 10, 14, 29], [15, 21], [19, 24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31, 32], [30, 34, 33, 35]]
6: [[11, 36, 20, 3, 4], [12, 1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32, 30, 34, 33, 35]]
7: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26], [13, 16, 23, 27], [31, 32, 30, 34], [33, 35]]
8: [[11, 36, 20, 3], [4, 12, 1], [2, 5, 6, 7], [22, 37, 9, 8], [10, 14, 29], [15, 21, 19], [24, 17, 18], [28, 25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33, 35]]
9: [[11, 36, 20, 3], [4, 12, 1, 2], [5, 6, 7, 22, 37], [9, 8, 10, 14], [29, 15, 21, 19], [24, 17, 18, 28], [25, 26, 13], [16, 23, 27, 31], [32, 30, 34, 33], [35]]
10: [[11, 36], [20, 3, 4, 12], [1, 2, 5], [6, 7, 22, 37], [9, 8, 10, 14, 29], [15, 21, 19, 24], [17, 18, 28], [25, 26, 13], [16, 23, 27, 31, 32, 30, 34, 33, 35]]
